Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],New Caledonia,NC
2023-03-21T08:24:20+11:00,March Equinox,['Season'],New Caledonia,NC
2023-04-07,Good Friday,['Observance'],New Caledonia,NC
2023-04-09,Easter Sunday,['Observance'],New Caledonia,NC
2023-04-10,Easter Monday,['National holiday'],New Caledonia,NC
2023-05-01,Labor Day / May Day,['National holiday'],New Caledonia,NC
2023-05-08,Victory Day,['National holiday'],New Caledonia,NC
2023-05-18,Ascension Day,['National holiday'],New Caledonia,NC
2023-05-28,Whit Sunday,['Observance'],New Caledonia,NC
2023-05-29,Whit Monday,['National holiday'],New Caledonia,NC
2023-06-22T01:57:49+11:00,June Solstice,['Season'],New Caledonia,NC
2023-07-14,French National Day,['National holiday'],New Caledonia,NC
2023-08-15,Assumption of Mary,['National holiday'],New Caledonia,NC
2023-09-23T17:50:01+11:00,September Equinox,['Season'],New Caledonia,NC
2023-09-24,New Caledonia Day,['National holiday'],New Caledonia,NC
2023-11-01,All Saints' Day,['National holiday'],New Caledonia,NC
2023-11-11,Armistice Day,['National holiday'],New Caledonia,NC
2023-12-22T14:27:21+11:00,December Solstice,['Season'],New Caledonia,NC
2023-12-25,Christmas Day,['National holiday'],New Caledonia,NC
2023-12-31,New Year's Eve,['Observance'],New Caledonia,NC
