Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],New Zealand,NZ
2023-01-02,Day after New Year's Day,['National holiday'],New Zealand,NZ
2023-01-03,Day off for New Year's Day,['National holiday'],New Zealand,NZ
2023-01-23,Wellington Anniversary Day,['Local holiday'],New Zealand,NZ
2023-01-30,Northland Anniversary Day,['Local holiday'],New Zealand,NZ
2023-01-30,Auckland Anniversary Day,['Local holiday'],New Zealand,NZ
2023-01-30,Nelson Anniversary Day,['Local holiday'],New Zealand,NZ
2023-02-06,Waitangi Day,['National holiday'],New Zealand,NZ
2023-02-14,Valentine's Day,['Observance'],New Zealand,NZ
2023-03-13,Taranaki Anniversary Day,['Local holiday'],New Zealand,NZ
2023-03-20,Otago Anniversary Day,['Local holiday'],New Zealand,NZ
2023-03-21T10:24:20+13:00,March Equinox,['Season'],New Zealand,NZ
2023-04-01,April Fools,['Observance'],New Zealand,NZ
2023-04-07,Good Friday,['National holiday'],New Zealand,NZ
2023-04-08,Holy Saturday,['Observance'],New Zealand,NZ
2023-04-09,Easter Sunday,['Observance'],New Zealand,NZ
2023-04-10,Easter Monday,['National holiday'],New Zealand,NZ
2023-04-11,Southland Anniversary Day,['Local holiday'],New Zealand,NZ
2023-04-25,ANZAC Day,['National holiday'],New Zealand,NZ
2023-05-06,The Coronation of King Charles III,['Observance'],New Zealand,NZ
2023-05-14,Mother's Day,['Observance'],New Zealand,NZ
2023-06-05,King's Birthday,['National holiday'],New Zealand,NZ
2023-06-22T02:57:49+12:00,June Solstice,['Season'],New Zealand,NZ
2023-07-14,Matariki,['National holiday'],New Zealand,NZ
2023-09-03,Father's Day,['Observance'],New Zealand,NZ
2023-09-23T18:50:01+12:00,September Equinox,['Season'],New Zealand,NZ
2023-09-25,South Canterbury Anniversary Day,['Local holiday'],New Zealand,NZ
2023-10-20,Hawke's Bay Anniversary Day,['Local holiday'],New Zealand,NZ
2023-10-23,Labour Day,['National holiday'],New Zealand,NZ
2023-10-30,Marlborough Anniversary Day,['Local holiday'],New Zealand,NZ
2023-10-31,Halloween,['Observance'],New Zealand,NZ
2023-11-05,Guy Fawkes Night,['Observance'],New Zealand,NZ
2023-11-17,Canterbury Anniversary Day,['Local holiday'],New Zealand,NZ
2023-11-27,Chatham Islands Anniversary Day,['Local holiday'],New Zealand,NZ
2023-12-04,Westland Anniversary Day,['Local holiday'],New Zealand,NZ
2023-12-22T16:27:21+13:00,December Solstice,['Season'],New Zealand,NZ
2023-12-24,Christmas Eve,['Observance'],New Zealand,NZ
2023-12-25,Christmas Day,['National holiday'],New Zealand,NZ
2023-12-26,Boxing Day,['National holiday'],New Zealand,NZ
2023-12-31,New Year's Eve,['Observance'],New Zealand,NZ
