Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Nicaragua,NI
2023-02-14,Day of Love and Friendship,['Observance'],Nicaragua,NI
2023-03-20T15:24:20-06:00,March Equinox,['Season'],Nicaragua,NI
2023-04-06,Maundy Thursday,"['National holiday', 'Christian']",Nicaragua,NI
2023-04-07,Good Friday,"['National holiday', 'Christian']",Nicaragua,NI
2023-04-08,Holy Saturday,"['Observance', 'Christian']",Nicaragua,NI
2023-04-09,Easter Sunday,"['Observance', 'Christian']",Nicaragua,NI
2023-05-01,Labor Day / May Day,['National holiday'],Nicaragua,NI
2023-05-30,Mothers' Day,['National holiday'],Nicaragua,NI
2023-06-21T08:57:49-06:00,June Solstice,['Season'],Nicaragua,NI
2023-07-19,The Sandinista Revolution Day,['National holiday'],Nicaragua,NI
2023-08-01,Santo Domingo Celebrations Start,['Local holiday'],Nicaragua,NI
2023-08-10,Last Day of Santo Domingo Celebrations,['Local holiday'],Nicaragua,NI
2023-09-02,Army Day,['Observance'],Nicaragua,NI
2023-09-14,Battle of San Jacinto,['National holiday'],Nicaragua,NI
2023-09-15,Independence Day,['National holiday'],Nicaragua,NI
2023-09-23T00:50:01-06:00,September Equinox,['Season'],Nicaragua,NI
2023-10-12,Indigenous Resistance Day,['Observance'],Nicaragua,NI
2023-11-02,All Souls' Day,['Observance'],Nicaragua,NI
2023-12-08,Feast of the Immaculate Conception,['National holiday'],Nicaragua,NI
2023-12-21T21:27:21-06:00,December Solstice,['Season'],Nicaragua,NI
2023-12-25,Christmas Day,"['National holiday', 'Christian']",Nicaragua,NI
2023-12-31,New Year´s Eve,['Observance'],Nicaragua,NI
