Date,Name,Type,Country Name,Country Code
2023-01-01,New Year,['National holiday'],Niger,NE
2023-03-20T22:24:20+01:00,March Equinox,['Season'],Niger,NE
2023-03-23,Ramadan Start,['Observance'],Niger,NE
2023-04-10,Easter Monday,['National holiday'],Niger,NE
2023-04-18,Lailat al-Qadr,['National holiday'],Niger,NE
2023-04-21,Eid al-Fitr,['National holiday'],Niger,NE
2023-04-24,Concord Day,['National holiday'],Niger,NE
2023-05-01,Labour Day,['National holiday'],Niger,NE
2023-06-18,Father's Day,['Observance'],Niger,NE
2023-06-21T15:57:49+01:00,June Solstice,['Season'],Niger,NE
2023-06-28,Eid al-Adha,['National holiday'],Niger,NE
2023-06-29,Eid al-Adha Holiday,['National holiday'],Niger,NE
2023-07-19,Muharram,['National holiday'],Niger,NE
2023-08-03,Nigerien Independence Day,['National holiday'],Niger,NE
2023-09-23T07:50:01+01:00,September Equinox,['Season'],Niger,NE
2023-09-27,The Prophet's Birthday,['National holiday'],Niger,NE
2023-12-18,Nigerien Republic Day,['National holiday'],Niger,NE
2023-12-22T04:27:21+01:00,December Solstice,['Season'],Niger,NE
2023-12-25,Christmas Day,['National holiday'],Niger,NE
