Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Nigeria,NG
2023-01-02,Day off for New Year's Day,['National holiday'],Nigeria,NG
2023-02-14,Valentine's Day,['Observance'],Nigeria,NG
2023-02-22,Ash Wednesday,"['Observance', 'Christian']",Nigeria,NG
2023-03-08,Women's Day,['Observance'],Nigeria,NG
2023-03-19,Mothering Sunday,['Observance'],Nigeria,NG
2023-03-20T22:24:20+01:00,March Equinox,['Season'],Nigeria,NG
2023-03-23,Ramadan Start,['Observance'],Nigeria,NG
2023-04-07,Good Friday,['National holiday'],Nigeria,NG
2023-04-08,Holy Saturday,"['Observance', 'Christian']",Nigeria,NG
2023-04-09,Easter Sunday,"['Observance', 'Christian']",Nigeria,NG
2023-04-10,Easter Monday,['National holiday'],Nigeria,NG
2023-04-21,Id el Fitr,['National holiday'],Nigeria,NG
2023-04-24,Id el Fitr holiday,['National holiday'],Nigeria,NG
2023-05-01,Workers' Day,['National holiday'],Nigeria,NG
2023-05-27,Children's Day,['Observance'],Nigeria,NG
2023-05-29,Presidential Inauguration Holiday,['National holiday'],Nigeria,NG
2023-06-12,Democracy Day,['National holiday'],Nigeria,NG
2023-06-18,Father's Day,['Observance'],Nigeria,NG
2023-06-21T15:57:49+01:00,June Solstice,['Season'],Nigeria,NG
2023-06-28,Id el Kabir,['National holiday'],Nigeria,NG
2023-06-29,Id el Kabir additional holiday,['National holiday'],Nigeria,NG
2023-07-19,Al-Hijra,['Local holiday'],Nigeria,NG
2023-08-20,Isese Day,['Local holiday'],Nigeria,NG
2023-09-23T07:50:01+01:00,September Equinox,['Season'],Nigeria,NG
2023-09-27,Id el Maulud,['National holiday'],Nigeria,NG
2023-10-01,National Day,['National holiday'],Nigeria,NG
2023-10-02,Day off for National Day,['National holiday'],Nigeria,NG
2023-12-22,Sambisa Memorial Day,['Local holiday'],Nigeria,NG
2023-12-22T04:27:21+01:00,December Solstice,['Season'],Nigeria,NG
2023-12-24,Christmas Eve,"['Observance', 'Christian']",Nigeria,NG
2023-12-25,Christmas Day,['National holiday'],Nigeria,NG
2023-12-26,Boxing Day,['National holiday'],Nigeria,NG
2023-12-31,New Year's Eve,['Observance'],Nigeria,NG
