Date,Name,Type,Country Name,Country Code
2023-01-01,New Year,['National holiday'],North Korea,KP
2023-01-23,Seollal,['National holiday'],North Korea,KP
2023-02-16,Birth date of Kim Jong Il,['National holiday'],North Korea,KP
2023-03-08,International Women's Day,['National holiday'],North Korea,KP
2023-03-21T06:24:20+09:00,March Equinox,['Season'],North Korea,KP
2023-04-15,Birth Date of Kim Il Sung,['National holiday'],North Korea,KP
2023-04-25,Chosun People's Army Foundation Day,['National holiday'],North Korea,KP
2023-05-01,May Day,['National holiday'],North Korea,KP
2023-06-06,Chosun Children's Union Foundation Day,['National holiday'],North Korea,KP
2023-06-21T23:57:49+09:00,June Solstice,['Season'],North Korea,KP
2023-07-27,Day of Victory in the Fatherland Liberation War,['National holiday'],North Korea,KP
2023-08-15,Liberation Day,['National holiday'],North Korea,KP
2023-08-25,Day of Songun,['National holiday'],North Korea,KP
2023-09-09,National Day,['National holiday'],North Korea,KP
2023-09-23T15:50:01+09:00,September Equinox,['Season'],North Korea,KP
2023-09-29,Chuseok Harvest Festival,['National holiday'],North Korea,KP
2023-10-10,Party Foundation Day,['National holiday'],North Korea,KP
2023-11-16,Mother's Day,['National holiday'],North Korea,KP
2023-12-22T12:27:21+09:00,December Solstice,['Season'],North Korea,KP
2023-12-27,Constitution Day,['National holiday'],North Korea,KP
