Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],North Macedonia,MK
2023-01-02,Day off for New Year's Day,['National holiday'],North Macedonia,MK
2023-01-06,Orthodox Christmas Eve,"['Common local holiday', 'Orthodox']",North Macedonia,MK
2023-01-07,Orthodox Christmas Day,"['National holiday', 'Orthodox']",North Macedonia,MK
2023-01-19,Epiphany (Orthodox),"['Common local holiday', 'Orthodox']",North Macedonia,MK
2023-01-27,St Sava's Day,['Common local holiday'],North Macedonia,MK
2023-02-14,Valentine's Day,['Observance'],North Macedonia,MK
2023-03-08,Mothers' Day/International Women's Day,['Observance'],North Macedonia,MK
2023-03-20T22:24:20+01:00,March Equinox,['Season'],North Macedonia,MK
2023-03-23,Ramadan Start,['Observance'],North Macedonia,MK
2023-03-26T02:00:00+01:00,Daylight Saving Time starts,['Clock change/Daylight Saving Time'],North Macedonia,MK
2023-04-07,Good Friday,['Observance'],North Macedonia,MK
2023-04-08,Easter Saturday,['Observance'],North Macedonia,MK
2023-04-08,International Romani Day (for Romani community),['Common local holiday'],North Macedonia,MK
2023-04-09,Easter Sunday,['Observance'],North Macedonia,MK
2023-04-10,Easter Monday,['Common local holiday'],North Macedonia,MK
2023-04-14,Good Friday (Orthodox),"['Common local holiday', 'Orthodox']",North Macedonia,MK
2023-04-15,Easter Saturday (Orthodox),"['Observance', 'Orthodox']",North Macedonia,MK
2023-04-16,Easter Sunday (Orthodox),"['Observance', 'Orthodox']",North Macedonia,MK
2023-04-17,Easter Monday (Orthodox),"['National holiday', 'Orthodox']",North Macedonia,MK
2023-04-21,Eid al-Fitr,['National holiday'],North Macedonia,MK
2023-05-01,Labor Day,['National holiday'],North Macedonia,MK
2023-05-23,Vlach’s National Day (for Vlach community),['Common local holiday'],North Macedonia,MK
2023-05-24,Saints Cyril and Methodius' Day,['National holiday'],North Macedonia,MK
2023-06-02,Friday before Pentecost,['Optional holiday'],North Macedonia,MK
2023-06-21T16:57:49+02:00,June Solstice,['Season'],North Macedonia,MK
2023-06-28,Eid al-Adha (Feast of Sacrifice),['Common local holiday'],North Macedonia,MK
2023-08-02,Republic Day,['National holiday'],North Macedonia,MK
2023-08-28,Feast of the Assumption of Mary (Orthodox),"['Common local holiday', 'Orthodox']",North Macedonia,MK
2023-09-08,Independence Day,['National holiday'],North Macedonia,MK
2023-09-10,Fathers' Day,['Observance'],North Macedonia,MK
2023-09-23T08:50:01+02:00,September Equinox,['Season'],North Macedonia,MK
2023-09-25,First day of Yom Kippur (Jewish community),['Common local holiday'],North Macedonia,MK
2023-09-28,International Bosniaks' Day (for Bosniak community),['Common local holiday'],North Macedonia,MK
2023-10-11,Day of People’s Uprising,['National holiday'],North Macedonia,MK
2023-10-23,Day of the Macedonian Revolutionary Struggle,['National holiday'],North Macedonia,MK
2023-10-29T03:00:00+02:00,Daylight Saving Time ends,['Clock change/Daylight Saving Time'],North Macedonia,MK
2023-10-31,Halloween,['Observance'],North Macedonia,MK
2023-11-01,All Saints' Day,['Common local holiday'],North Macedonia,MK
2023-11-22,Albanian Alphabet Day (Albanian community),['Common local holiday'],North Macedonia,MK
2023-12-08,Saint Kliment Ohridski's Day,['National holiday'],North Macedonia,MK
2023-12-21,Turkish Language Day (Turkish community),['Common local holiday'],North Macedonia,MK
2023-12-22T04:27:21+01:00,December Solstice,['Season'],North Macedonia,MK
2023-12-24,Christmas Eve,['Observance'],North Macedonia,MK
2023-12-25,Christmas Day,['Common local holiday'],North Macedonia,MK
2023-12-31,New Year's Eve,['Observance'],North Macedonia,MK
