Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Northern Mariana Islands,MP
2023-01-02,Day off for New Year's Day,['National holiday'],Northern Mariana Islands,MP
2023-01-16,Martin Luther King Jr. Day,['National holiday'],Northern Mariana Islands,MP
2023-02-20,President's Day,['National holiday'],Northern Mariana Islands,MP
2023-03-21T07:24:20+10:00,March Equinox,['Season'],Northern Mariana Islands,MP
2023-03-24,Commonwealth Covenant Day,['National holiday'],Northern Mariana Islands,MP
2023-04-07,Good Friday,['National holiday'],Northern Mariana Islands,MP
2023-05-29,Memorial Day,['National holiday'],Northern Mariana Islands,MP
2023-06-19,Juneteenth,['National holiday'],Northern Mariana Islands,MP
2023-06-22T00:57:49+10:00,June Solstice,['Season'],Northern Mariana Islands,MP
2023-07-04,Independence Day,['National holiday'],Northern Mariana Islands,MP
2023-09-04,Labor Day,['National holiday'],Northern Mariana Islands,MP
2023-09-23T16:50:01+10:00,September Equinox,['Season'],Northern Mariana Islands,MP
2023-10-09,Commonwealth Cultural Day,['National holiday'],Northern Mariana Islands,MP
2023-11-03,Day off for Citizenship Day,['National holiday'],Northern Mariana Islands,MP
2023-11-04,Citizenship Day,['National holiday'],Northern Mariana Islands,MP
2023-11-10,Day off for Veterans Day,['National holiday'],Northern Mariana Islands,MP
2023-11-11,Veterans Day,['National holiday'],Northern Mariana Islands,MP
2023-11-23,Thanksgiving Day,['National holiday'],Northern Mariana Islands,MP
2023-12-08,Constitution Day,['National holiday'],Northern Mariana Islands,MP
2023-12-22T13:27:21+10:00,December Solstice,['Season'],Northern Mariana Islands,MP
2023-12-25,Christmas Day,['National holiday'],Northern Mariana Islands,MP
