Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,"['National holiday', 'Flag day']",Norway,NO
2023-01-21,Princess Ingrid Alexandra's Day,['Flag day'],Norway,NO
2023-02-06,Saami National Day,['Flag day'],Norway,NO
2023-02-12,Mother's Day,['Observance'],Norway,NO
2023-02-14,Valentine's Day,['Observance'],Norway,NO
2023-02-19,Carnival,['Observance'],Norway,NO
2023-02-21,King Harald V's Day,['Flag day'],Norway,NO
2023-03-20T22:24:20+01:00,March Equinox,['Season'],Norway,NO
2023-03-26T02:00:00+01:00,Daylight Saving Time starts,['Clock change/Daylight Saving Time'],Norway,NO
2023-04-02,Palm Sunday,['Observance'],Norway,NO
2023-04-06,Maundy Thursday,['National holiday'],Norway,NO
2023-04-07,Good Friday,['National holiday'],Norway,NO
2023-04-08,Holy Saturday,['Observance'],Norway,NO
2023-04-09,Easter Sunday,"['National holiday', 'Flag day']",Norway,NO
2023-04-10,Easter Monday,['National holiday'],Norway,NO
2023-05-01,Labor Day,"['National holiday', 'Flag day']",Norway,NO
2023-05-08,Day of Liberation,"['Observance', 'Flag day']",Norway,NO
2023-05-17,17 May Constitution Day (1814),"['National holiday', 'Flag day']",Norway,NO
2023-05-18,Ascension Day,['National holiday'],Norway,NO
2023-05-27,Whit Saturday,['Observance'],Norway,NO
2023-05-28,Whit Sunday,"['National holiday', 'Flag day']",Norway,NO
2023-05-29,Whit Monday,['National holiday'],Norway,NO
2023-06-07,Dissolution of Union With Sweden (1905),['Flag day'],Norway,NO
2023-06-21T16:57:49+02:00,June Solstice,['Season'],Norway,NO
2023-06-23,Midsummer Eve,['Observance'],Norway,NO
2023-06-24,St. John's Day,['Observance'],Norway,NO
2023-07-04,Queen Sonja's Day,['Flag day'],Norway,NO
2023-07-20,Crown Prince Haakon's Day,['Flag day'],Norway,NO
2023-07-29,St. Olaf's Day,['Flag day'],Norway,NO
2023-08-19,Crown Princess Mette-Marit's Day,['Flag day'],Norway,NO
2023-09-23T08:50:01+02:00,September Equinox,['Season'],Norway,NO
2023-10-24,United Nations Day,['Observance'],Norway,NO
2023-10-29,Repentance Day,['Observance'],Norway,NO
2023-10-29T03:00:00+02:00,Daylight Saving Time ends,['Clock change/Daylight Saving Time'],Norway,NO
2023-10-31,Halloween,['Observance'],Norway,NO
2023-11-05,All Saints' Day,['Observance'],Norway,NO
2023-11-12,Father's Day,['Observance'],Norway,NO
2023-12-03,First Advent Sunday,['Observance'],Norway,NO
2023-12-10,Second Advent Sunday,['Observance'],Norway,NO
2023-12-17,Third Advent Sunday,['Observance'],Norway,NO
2023-12-22T04:27:21+01:00,December Solstice,['Season'],Norway,NO
2023-12-24,Fourth Advent Sunday,['Observance'],Norway,NO
2023-12-24,Christmas Eve,['Observance'],Norway,NO
2023-12-25,Christmas Day,"['National holiday', 'Flag day']",Norway,NO
2023-12-26,Boxing Day,['National holiday'],Norway,NO
2023-12-31,New Year's Eve,['Observance'],Norway,NO
