Date,Name,Type,Country Name,Country Code
2023-01-01,New Year,['Observance'],Oman,OM
2023-01-12,Sultan’s Accession Day,['National holiday'],Oman,OM
2023-02-19,Isra and Mi'raj,['National holiday'],Oman,OM
2023-02-19,Isra and Mi'raj Holiday,['National holiday'],Oman,OM
2023-03-21T01:24:20+04:00,March Equinox,['Season'],Oman,OM
2023-03-23,Ramadan Start,['Observance'],Oman,OM
2023-04-20,Eid al-Fitr Holiday,['National holiday'],Oman,OM
2023-04-21,Eid al-Fitr Holiday,['National holiday'],Oman,OM
2023-04-22,Eid al-Fitr,['National holiday'],Oman,OM
2023-04-23,Eid al-Fitr Holiday,['National holiday'],Oman,OM
2023-04-24,Eid al-Fitr Holiday,['National holiday'],Oman,OM
2023-06-21T18:57:49+04:00,June Solstice,['Season'],Oman,OM
2023-06-28,Eid al-Adha,['National holiday'],Oman,OM
2023-06-29,Eid al-Adha Holiday,['National holiday'],Oman,OM
2023-06-30,Eid al-Adha Holiday,['National holiday'],Oman,OM
2023-07-01,Eid al-Adha Holiday,['National holiday'],Oman,OM
2023-07-20,Muharram,['National holiday'],Oman,OM
2023-09-23T10:50:01+04:00,September Equinox,['Season'],Oman,OM
2023-09-27,The Prophet's Birthday,['National holiday'],Oman,OM
2023-11-18,National Day,['National holiday'],Oman,OM
2023-11-19,National Day Holiday,['National holiday'],Oman,OM
2023-12-22T07:27:21+04:00,December Solstice,['Season'],Oman,OM
