Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['Optional holiday'],Pakistan,PK
2023-01-26,Basant Panchami,['Optional holiday'],Pakistan,PK
2023-02-05,Kashmir Day,['National holiday'],Pakistan,PK
2023-02-19,Shab e-Meraj,['Optional holiday'],Pakistan,PK
2023-03-07,Holi,['Optional holiday'],Pakistan,PK
2023-03-08,Shab e-Barat,['Optional holiday'],Pakistan,PK
2023-03-21T02:24:20+05:00,March Equinox,['Season'],Pakistan,PK
2023-03-23,Pakistan Day,['National holiday'],Pakistan,PK
2023-03-23,Ramadan Start,['Observance'],Pakistan,PK
2023-04-07,Good Friday,['Optional holiday'],Pakistan,PK
2023-04-09,Easter Sunday,['Observance'],Pakistan,PK
2023-04-10,Easter Monday,['Optional holiday'],Pakistan,PK
2023-04-14,Baisakhi,['Optional holiday'],Pakistan,PK
2023-04-21,Eid-ul-Fitr Holiday,['National holiday'],Pakistan,PK
2023-04-21,Ridván,['Optional holiday'],Pakistan,PK
2023-04-22,Eid-ul-Fitr,['National holiday'],Pakistan,PK
2023-04-23,Eid-ul-Fitr Holiday,['National holiday'],Pakistan,PK
2023-04-24,Eid-ul-Fitr Holiday,['National holiday'],Pakistan,PK
2023-04-25,Eid-ul-Fitr Holiday,['National holiday'],Pakistan,PK
2023-05-01,Labour Day,['National holiday'],Pakistan,PK
2023-05-05,Buddha Purnima,['Optional holiday'],Pakistan,PK
2023-06-21T19:57:49+05:00,June Solstice,['Season'],Pakistan,PK
2023-06-29,Eid al-Adha,['National holiday'],Pakistan,PK
2023-06-30,Eid al-Adha Holiday,['National holiday'],Pakistan,PK
2023-07-01,July 1 Bank Holiday,['Observance'],Pakistan,PK
2023-07-01,Eid al-Adha Holiday,['National holiday'],Pakistan,PK
2023-07-28,Ashura Holiday,['National holiday'],Pakistan,PK
2023-07-29,Ashura,['National holiday'],Pakistan,PK
2023-08-14,Independence Day,['National holiday'],Pakistan,PK
2023-08-30,Raksha Bandhan,['Hinduism'],Pakistan,PK
2023-09-06,Chelum,['Optional holiday'],Pakistan,PK
2023-09-06,Defence Day,['Observance'],Pakistan,PK
2023-09-19,Ganesh Chaturthi,['Hinduism'],Pakistan,PK
2023-09-23T11:50:01+05:00,September Equinox,['Season'],Pakistan,PK
2023-09-26,Giarhwin Sharief,['Optional holiday'],Pakistan,PK
2023-09-27,Eid Milad un-Nabi,['National holiday'],Pakistan,PK
2023-10-22,Durga Puja,['Optional holiday'],Pakistan,PK
2023-10-24,Dussehra,['Optional holiday'],Pakistan,PK
2023-10-28,Birthday of Guru Balmik Sawami Ji,['Optional holiday'],Pakistan,PK
2023-11-09,Iqbal Day,['National holiday'],Pakistan,PK
2023-11-12,Diwali/Deepavali,"['Hinduism', 'Optional holiday']",Pakistan,PK
2023-12-22T08:27:21+05:00,December Solstice,['Season'],Pakistan,PK
2023-12-24,Christmas Eve,['Observance'],Pakistan,PK
2023-12-25,Christmas Day,['National holiday'],Pakistan,PK
2023-12-25,Quaid-e-Azam Day,['National holiday'],Pakistan,PK
2023-12-26,Day After Christmas (Christians only),['Optional holiday'],Pakistan,PK
2023-12-31,New Year's Eve,['Observance'],Pakistan,PK
