Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Palau,PW
2023-01-02,Day off for New Year's Day,['National holiday'],Palau,PW
2023-03-15,Youth Day,['National holiday'],Palau,PW
2023-03-21T06:24:20+09:00,March Equinox,['Season'],Palau,PW
2023-05-05,Senior Citizens Day,['National holiday'],Palau,PW
2023-06-01,President's Day,['National holiday'],Palau,PW
2023-06-21T23:57:49+09:00,June Solstice,['Season'],Palau,PW
2023-07-09,Constitution Day,['National holiday'],Palau,PW
2023-07-10,Day off for Constitution Day,['National holiday'],Palau,PW
2023-09-04,Labor Day,['National holiday'],Palau,PW
2023-09-23T15:50:01+09:00,September Equinox,['Season'],Palau,PW
2023-10-01,Independence Day,['National holiday'],Palau,PW
2023-10-02,Day off for Independence Day,['National holiday'],Palau,PW
2023-10-24,United Nations Day,['National holiday'],Palau,PW
2023-11-23,Thanksgiving,['National holiday'],Palau,PW
2023-11-24,Family Day,['National holiday'],Palau,PW
2023-12-22T12:27:21+09:00,December Solstice,['Season'],Palau,PW
2023-12-25,Christmas Day,['National holiday'],Palau,PW
