Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Panama,PA
2023-01-09,Martyr's Day,['National holiday'],Panama,PA
2023-02-18,Carnival,['Observance'],Panama,PA
2023-02-19,Carnival,['Observance'],Panama,PA
2023-02-20,Carnival / Shrove Monday,['Common local holiday'],Panama,PA
2023-02-21,Carnival / Shrove Tuesday / Pancake Day,['National holiday'],Panama,PA
2023-02-22,Carnival / Ash Wednesday,['Common local holiday'],Panama,PA
2023-03-20T16:24:20-05:00,March Equinox,['Season'],Panama,PA
2023-04-06,Maundy Thursday,"['Christian', 'Common local holiday']",Panama,PA
2023-04-07,Good Friday,"['National holiday', 'Christian']",Panama,PA
2023-04-08,Holy Saturday,"['Christian', 'Common local holiday']",Panama,PA
2023-04-09,Easter Sunday,"['Observance', 'Christian']",Panama,PA
2023-05-01,Labor Day / May Day,['National holiday'],Panama,PA
2023-06-21T09:57:49-05:00,June Solstice,['Season'],Panama,PA
2023-08-15,Foundation of Old Panama City,['Common local holiday'],Panama,PA
2023-09-23T01:50:01-05:00,September Equinox,['Season'],Panama,PA
2023-11-03,Independence Day,['National holiday'],Panama,PA
2023-11-04,National Symbols Day,['National holiday'],Panama,PA
2023-11-05,Colón Day,['National holiday'],Panama,PA
2023-11-10,Shout in Villa de los Santos,['National holiday'],Panama,PA
2023-11-28,Independence from Spain,['National holiday'],Panama,PA
2023-12-08,Mother's Day,['National holiday'],Panama,PA
2023-12-20,National Day of Mourning,['National holiday'],Panama,PA
2023-12-21T22:27:21-05:00,December Solstice,['Season'],Panama,PA
2023-12-24,Christmas Eve,['Common local holiday'],Panama,PA
2023-12-25,Christmas Day,"['National holiday', 'Christian']",Panama,PA
2023-12-31,New Year's Eve,['Common local holiday'],Panama,PA
