Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Papua New Guinea,PG
2023-01-02,Day off for New Year's Day,['National holiday'],Papua New Guinea,PG
2023-02-24,Day off for National Remembrance Day In Memory of Late Grand Chief Sir Michael Somare,['National holiday'],Papua New Guinea,PG
2023-02-26,National Remembrance Day In Memory of Late Grand Chief Sir Michael Somare,['National holiday'],Papua New Guinea,PG
2023-03-21T07:24:20+10:00,March Equinox,['Season'],Papua New Guinea,PG
2023-04-07,Good Friday,['National holiday'],Papua New Guinea,PG
2023-04-08,Holy Saturday,['National holiday'],Papua New Guinea,PG
2023-04-09,Easter Sunday,['Common local holiday'],Papua New Guinea,PG
2023-04-10,Easter Monday,['National holiday'],Papua New Guinea,PG
2023-04-18,Public Holiday,['National holiday'],Papua New Guinea,PG
2023-06-12,Queen Elizabeth II's Birthday,['National holiday'],Papua New Guinea,PG
2023-06-16,King's Birthday,['National holiday'],Papua New Guinea,PG
2023-06-22T00:57:49+10:00,June Solstice,['Season'],Papua New Guinea,PG
2023-07-23,National Remembrance Day,['National holiday'],Papua New Guinea,PG
2023-07-24,Day off for National Remembrance Day,['National holiday'],Papua New Guinea,PG
2023-08-26,National Day of Repentance,['National holiday'],Papua New Guinea,PG
2023-09-15,Day off for Independence Day,['National holiday'],Papua New Guinea,PG
2023-09-16,Independence Day,['National holiday'],Papua New Guinea,PG
2023-09-23T16:50:01+10:00,September Equinox,['Season'],Papua New Guinea,PG
2023-12-22T13:27:21+10:00,December Solstice,['Season'],Papua New Guinea,PG
2023-12-25,Christmas Day,['National holiday'],Papua New Guinea,PG
2023-12-26,Boxing Day,['National holiday'],Papua New Guinea,PG
