Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Paraguay,PY
2023-02-27,Heroes' Day,['National holiday'],Paraguay,PY
2023-03-01,Heroes' Day,['Observance'],Paraguay,PY
2023-03-20T18:24:20-03:00,March Equinox,['Season'],Paraguay,PY
2023-03-26T00:00:00-03:00,Daylight Saving Time ends,['Clock change/Daylight Saving Time'],Paraguay,PY
2023-04-06,Maundy Thursday,['National holiday'],Paraguay,PY
2023-04-07,Good Friday,['National holiday'],Paraguay,PY
2023-05-01,Labor Day / May Day,['National holiday'],Paraguay,PY
2023-05-14,National Holiday,['National holiday'],Paraguay,PY
2023-05-15,Independence Day,['National holiday'],Paraguay,PY
2023-06-12,Chaco Armistice,['National holiday'],Paraguay,PY
2023-06-21T10:57:49-04:00,June Solstice,['Season'],Paraguay,PY
2023-08-15,Founding of Asuncion,['National holiday'],Paraguay,PY
2023-09-23T02:50:01-04:00,September Equinox,['Season'],Paraguay,PY
2023-09-29,Boqueron Battle Victory Day,['National holiday'],Paraguay,PY
2023-10-01T00:00:00-04:00,Daylight Saving Time starts,['Clock change/Daylight Saving Time'],Paraguay,PY
2023-12-08,Virgin of Caacupé Day,['National holiday'],Paraguay,PY
2023-12-22T00:27:21-03:00,December Solstice,['Season'],Paraguay,PY
2023-12-24,Christmas Eve,['Observance'],Paraguay,PY
2023-12-25,Christmas Day,['National holiday'],Paraguay,PY
2023-12-31,New Year's Eve,['Observance'],Paraguay,PY
