Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Peru,PE
2023-01-02,Public Sector Holiday,['National holiday'],Peru,PE
2023-01-06,The Three Wise Men Day,['Observance'],Peru,PE
2023-03-20T16:24:20-05:00,March Equinox,['Season'],Peru,PE
2023-04-06,Maundy Thursday,"['National holiday', 'Christian']",Peru,PE
2023-04-07,Good Friday,"['National holiday', 'Christian']",Peru,PE
2023-04-09,Easter Sunday,"['Observance', 'Christian']",Peru,PE
2023-04-28,Public Sector Holiday,['National holiday'],Peru,PE
2023-05-01,Labor Day / May Day,['National holiday'],Peru,PE
2023-05-14,Mother's Day,['Observance'],Peru,PE
2023-06-07,Flag Day,['Observance'],Peru,PE
2023-06-18,Father's Day,['Observance'],Peru,PE
2023-06-21T09:57:49-05:00,June Solstice,['Season'],Peru,PE
2023-06-24,Farmer Day,['Observance'],Peru,PE
2023-06-24,Inti Raymi Day,['Observance'],Peru,PE
2023-06-29,St Peter and St Paul,['National holiday'],Peru,PE
2023-06-30,Public Sector Holiday,['National holiday'],Peru,PE
2023-07-23,Peruvian Air Force Day,['National holiday'],Peru,PE
2023-07-27,Public Sector Holiday,['National holiday'],Peru,PE
2023-07-28,Independence Day,['National holiday'],Peru,PE
2023-07-29,Independence Day (day 2),['National holiday'],Peru,PE
2023-08-30,Santa Rosa De Lima,['National holiday'],Peru,PE
2023-09-23T01:50:01-05:00,September Equinox,['Season'],Peru,PE
2023-09-24,Armed Forces Day,['Observance'],Peru,PE
2023-10-08,Battle of Angamos,['National holiday'],Peru,PE
2023-10-09,Public Sector Holiday,['National holiday'],Peru,PE
2023-11-01,All Saints' Day,['National holiday'],Peru,PE
2023-11-02,All Souls' Day,['Observance'],Peru,PE
2023-12-07,Public Sector Holiday,['National holiday'],Peru,PE
2023-12-08,Feast of the Immaculate Conception,['National holiday'],Peru,PE
2023-12-09,Battle of Ayacucho,['National holiday'],Peru,PE
2023-12-21T22:27:21-05:00,December Solstice,['Season'],Peru,PE
2023-12-24,Christmas Eve,"['Observance', 'Christian']",Peru,PE
2023-12-25,Christmas Day,"['National holiday', 'Christian']",Peru,PE
2023-12-26,Public Sector Holiday,['National holiday'],Peru,PE
2023-12-31,New Year's Eve,['Observance'],Peru,PE
