Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Philippines,PH
2023-01-02,Special non-working day after New Year,['National holiday'],Philippines,PH
2023-01-22,Lunar New Year's Day,['Observance'],Philippines,PH
2023-01-23,First Philippine Republic Day,['Weekend'],Philippines,PH
2023-02-18,Lailatul Isra Wal Mi Raj,['Common local holiday'],Philippines,PH
2023-02-24,Day off for People Power Anniversary,['National holiday'],Philippines,PH
2023-02-25,People Power Anniversary,['National holiday'],Philippines,PH
2023-03-21T05:24:20+08:00,March Equinox,['Season'],Philippines,PH
2023-03-23,Ramadan Start,['Observance'],Philippines,PH
2023-04-06,Maundy Thursday,['National holiday'],Philippines,PH
2023-04-07,Good Friday,['National holiday'],Philippines,PH
2023-04-08,Black Saturday,['National holiday'],Philippines,PH
2023-04-09,Easter Sunday,['Observance'],Philippines,PH
2023-04-09,The Day of Valor,['Observance'],Philippines,PH
2023-04-10,The Day of Valor,['National holiday'],Philippines,PH
2023-04-21,Eidul-Fitar Holiday,['National holiday'],Philippines,PH
2023-04-22,Eidul-Fitar,['Observance'],Philippines,PH
2023-05-01,Labor Day,['National holiday'],Philippines,PH
2023-06-12,Independence Day,['National holiday'],Philippines,PH
2023-06-21T22:57:49+08:00,June Solstice,['Season'],Philippines,PH
2023-06-28,Eid al-Adha (Feast of the Sacrifice),['National holiday'],Philippines,PH
2023-06-29,Eid al-Adha Day 2,['Common local holiday'],Philippines,PH
2023-07-19,Amun Jadid,"['Muslim', 'Common local holiday']",Philippines,PH
2023-08-21,Ninoy Aquino Day,['National holiday'],Philippines,PH
2023-08-28,National Heroes Day,['National holiday'],Philippines,PH
2023-09-03,Yamashita Surrender Day,['Weekend'],Philippines,PH
2023-09-08,Feast of the Nativity of Mary,['Weekend'],Philippines,PH
2023-09-23T14:50:01+08:00,September Equinox,['Season'],Philippines,PH
2023-09-27,Maulid un-Nabi,['Common local holiday'],Philippines,PH
2023-11-01,All Saints' Day,['National holiday'],Philippines,PH
2023-11-02,All Souls' Day,['National holiday'],Philippines,PH
2023-11-27,Bonifacio Day,['National holiday'],Philippines,PH
2023-11-30,Bonifacio Day,['Observance'],Philippines,PH
2023-12-08,Feast of the Immaculate Conception,['Observance'],Philippines,PH
2023-12-22T11:27:21+08:00,December Solstice,['Season'],Philippines,PH
2023-12-24,Christmas Eve,['Observance'],Philippines,PH
2023-12-25,Christmas Day,['National holiday'],Philippines,PH
2023-12-30,Rizal Day,['National holiday'],Philippines,PH
2023-12-31,New Year's Eve,['National holiday'],Philippines,PH
