Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Poland,PL
2023-01-06,Epiphany,['National holiday'],Poland,PL
2023-02-14,Valentine's Day,['Observance'],Poland,PL
2023-03-20T22:24:20+01:00,March Equinox,['Season'],Poland,PL
2023-04-07,Good Friday,['Observance'],Poland,PL
2023-04-08,Holy Saturday,['Observance'],Poland,PL
2023-04-09,Easter Sunday,['National holiday'],Poland,PL
2023-04-10,Easter Monday,['National holiday'],Poland,PL
2023-05-01,Labor Day / May Day,['National holiday'],Poland,PL
2023-05-02,Day of the Flag,['Observance'],Poland,PL
2023-05-03,Constitution Day,['National holiday'],Poland,PL
2023-05-26,Mother's Day,['Observance'],Poland,PL
2023-05-28,Whit Sunday,['National holiday'],Poland,PL
2023-06-01,Children's Day,['Observance'],Poland,PL
2023-06-08,Corpus Christi,['National holiday'],Poland,PL
2023-06-21T16:57:49+02:00,June Solstice,['Season'],Poland,PL
2023-06-23,Father's Day,['Observance'],Poland,PL
2023-08-15,Assumption of Mary,['National holiday'],Poland,PL
2023-09-23T08:50:01+02:00,September Equinox,['Season'],Poland,PL
2023-11-01,All Saints' Day,['National holiday'],Poland,PL
2023-11-11,Independence Day,['National holiday'],Poland,PL
2023-12-22T04:27:21+01:00,December Solstice,['Season'],Poland,PL
2023-12-24,Christmas Eve,['Observance'],Poland,PL
2023-12-25,Christmas Day,['National holiday'],Poland,PL
2023-12-26,Second Day of Christmas,['National holiday'],Poland,PL
2023-12-27,National Day of the Victorious Greater Poland Uprising,['Observance'],Poland,PL
2023-12-31,New Year's Eve,['Observance'],Poland,PL
