Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Puerto Rico,PR
2023-01-02,Day off for New Year's Day,['National holiday'],Puerto Rico,PR
2023-01-06,Epiphany,['National holiday'],Puerto Rico,PR
2023-01-11,Birthday of Eugenio María de Hostos,['Observance'],Puerto Rico,PR
2023-01-16,Martin Luther King Jr Day,['Common local holiday'],Puerto Rico,PR
2023-02-14,Valentine's Day,['Observance'],Puerto Rico,PR
2023-02-18,Day in Commemoration of the Birthday of Don Luis Muñoz-Marín,['Observance'],Puerto Rico,PR
2023-02-20,Presidents' Day,['Common local holiday'],Puerto Rico,PR
2023-02-21,Carnival/Shrove Tuesday,['Observance'],Puerto Rico,PR
2023-03-02,American Citizenship Day,['Common local holiday'],Puerto Rico,PR
2023-03-20T17:24:20-04:00,March Equinox,['Season'],Puerto Rico,PR
2023-03-22,Emancipation Day,['Common local holiday'],Puerto Rico,PR
2023-04-07,Good Friday,['National holiday'],Puerto Rico,PR
2023-04-09,Easter Sunday,['Observance'],Puerto Rico,PR
2023-04-16,José de Diego’s Birthday,['Observance'],Puerto Rico,PR
2023-05-14,Mothers' Day,['National holiday'],Puerto Rico,PR
2023-05-29,Memorial Day,['Common local holiday'],Puerto Rico,PR
2023-06-18,Fathers' Day,['National holiday'],Puerto Rico,PR
2023-06-21T10:57:49-04:00,June Solstice,['Season'],Puerto Rico,PR
2023-07-04,US Independence Day,['Common local holiday'],Puerto Rico,PR
2023-07-25,Constitution Day,['Common local holiday'],Puerto Rico,PR
2023-07-27,José Celso Barbosa’s Birthday,['Observance'],Puerto Rico,PR
2023-09-04,Labor Day,['Common local holiday'],Puerto Rico,PR
2023-09-23T02:50:01-04:00,September Equinox,['Season'],Puerto Rico,PR
2023-10-09,Columbus Day,['Common local holiday'],Puerto Rico,PR
2023-11-11,Veterans Day,['Common local holiday'],Puerto Rico,PR
2023-11-19,Discovery Day,['Common local holiday'],Puerto Rico,PR
2023-11-20,Discovery Day observed,['Common local holiday'],Puerto Rico,PR
2023-11-23,Thanksgiving Day,['National holiday'],Puerto Rico,PR
2023-12-21T23:27:21-04:00,December Solstice,['Season'],Puerto Rico,PR
2023-12-24,Christmas Eve,['Observance'],Puerto Rico,PR
2023-12-25,Christmas Day,['National holiday'],Puerto Rico,PR
2023-12-31,New Year's Eve,['Observance'],Puerto Rico,PR
