Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['Common local holiday'],Qatar,QA
2023-02-14,National Sports Day,['National holiday'],Qatar,QA
2023-03-05,March bank holiday,['Common local holiday'],Qatar,QA
2023-03-21T00:24:20+03:00,March Equinox,['Season'],Qatar,QA
2023-03-23,Ramadan Start,['Observance'],Qatar,QA
2023-04-19,Eid al-Fitr Public Sector Holiday,['National holiday'],Qatar,QA
2023-04-20,Eid al-Fitr Public Sector Holiday,['National holiday'],Qatar,QA
2023-04-21,Eid al-Fitr,['National holiday'],Qatar,QA
2023-04-22,Eid al-Fitr Holiday,['National holiday'],Qatar,QA
2023-04-23,Eid al-Fitr Holiday,['National holiday'],Qatar,QA
2023-04-24,Eid al-Fitr Public Sector Holiday,['National holiday'],Qatar,QA
2023-04-25,Eid al-Fitr Public Sector Holiday,['National holiday'],Qatar,QA
2023-04-26,Eid al-Fitr Public Sector Holiday,['National holiday'],Qatar,QA
2023-04-27,Eid al-Fitr Public Sector Holiday,['National holiday'],Qatar,QA
2023-06-21T17:57:49+03:00,June Solstice,['Season'],Qatar,QA
2023-06-28,Eid al-Adha (Feast of Sacrifice),['National holiday'],Qatar,QA
2023-06-29,Eid al-Adha Holiday,['National holiday'],Qatar,QA
2023-06-30,Eid al-Adha Holiday,['National holiday'],Qatar,QA
2023-07-01,Eid al-Adha Holiday,['National holiday'],Qatar,QA
2023-09-23T09:50:01+03:00,September Equinox,['Season'],Qatar,QA
2023-12-18,National Day,['National holiday'],Qatar,QA
2023-12-22T06:27:21+03:00,December Solstice,['Season'],Qatar,QA
2023-12-31,New Year's Eve,['Observance'],Qatar,QA
