Date,Name,Type,Country Name,Country Code
2023-01-01,New Year,['National holiday'],Reunion,RE
2023-03-21T01:24:20+04:00,March Equinox,['Season'],Reunion,RE
2023-04-10,Easter Monday,['National holiday'],Reunion,RE
2023-05-01,Labour Day,['National holiday'],Reunion,RE
2023-05-08,WWII Victory Day,['National holiday'],Reunion,RE
2023-05-18,Ascension Day,['National holiday'],Reunion,RE
2023-05-29,Whit Monday,['National holiday'],Reunion,RE
2023-06-21T18:57:49+04:00,June Solstice,['Season'],Reunion,RE
2023-07-14,French National Day,['National holiday'],Reunion,RE
2023-08-15,Assumption of Mary,['National holiday'],Reunion,RE
2023-09-23T10:50:01+04:00,September Equinox,['Season'],Reunion,RE
2023-11-01,All Saints' Day,['National holiday'],Reunion,RE
2023-11-11,Armistice Day,['National holiday'],Reunion,RE
2023-12-20,Abolition of Slavery,['National holiday'],Reunion,RE
2023-12-22T07:27:21+04:00,December Solstice,['Season'],Reunion,RE
2023-12-25,Christmas Day,['National holiday'],Reunion,RE
