Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Romania,RO
2023-01-02,Day after New Year's Day,['National holiday'],Romania,RO
2023-01-06,Epiphany,"['Observance', 'Orthodox']",Romania,RO
2023-01-07,Synaxis of St. John the Baptist,['Observance'],Romania,RO
2023-01-24,Unification Day,['National holiday'],Romania,RO
2023-02-19,Constantin Brancusi Day,['Observance'],Romania,RO
2023-02-24,Dragobete,['Observance'],Romania,RO
2023-03-01,Mărțișor,['Observance'],Romania,RO
2023-03-08,International Women's Day,['Observance'],Romania,RO
2023-03-20T23:24:20+02:00,March Equinox,['Season'],Romania,RO
2023-04-14,Orthodox Good Friday,"['National holiday', 'Orthodox']",Romania,RO
2023-04-16,Orthodox Easter Day,"['National holiday', 'Orthodox']",Romania,RO
2023-04-17,Orthodox Easter Monday,"['National holiday', 'Orthodox']",Romania,RO
2023-05-01,Labor Day / May Day,['National holiday'],Romania,RO
2023-05-07,Mother's Day,['Observance'],Romania,RO
2023-05-10,Monarchy Day,['Observance'],Romania,RO
2023-05-10,National Independence Day,['Observance'],Romania,RO
2023-05-14,Father's Day,['Observance'],Romania,RO
2023-05-25,Orthodox Ascension Day,"['Observance', 'Orthodox']",Romania,RO
2023-06-01,Children's Day,['National holiday'],Romania,RO
2023-06-04,Orthodox Pentecost,"['National holiday', 'Orthodox']",Romania,RO
2023-06-05,Orthodox Pentecost Monday,"['National holiday', 'Orthodox']",Romania,RO
2023-06-21T17:57:49+03:00,June Solstice,['Season'],Romania,RO
2023-06-26,Flag Day,['Observance'],Romania,RO
2023-07-29,National Anthem Day,['Observance'],Romania,RO
2023-08-15,St Mary's Day,['National holiday'],Romania,RO
2023-09-23T09:50:01+03:00,September Equinox,['Season'],Romania,RO
2023-10-31,Halloween,['Observance'],Romania,RO
2023-11-30,St Andrew's Day,['National holiday'],Romania,RO
2023-12-01,National Day,['National holiday'],Romania,RO
2023-12-08,Constitution Day,['Observance'],Romania,RO
2023-12-22T05:27:21+02:00,December Solstice,['Season'],Romania,RO
2023-12-24,Christmas Eve,['Observance'],Romania,RO
2023-12-25,Christmas Day,['National holiday'],Romania,RO
2023-12-26,Second day of Christmas,['National holiday'],Romania,RO
2023-12-31,New Year's Eve,['Observance'],Romania,RO
