Date,Name,Type,Country Name,Country Code
2023-01-01,New Year,['National holiday'],Rwanda,RW
2023-01-02,Day After New Year's Day,['National holiday'],Rwanda,RW
2023-01-03,New Year observed,['National holiday'],Rwanda,RW
2023-02-01,National Heroes' Day,['National holiday'],Rwanda,RW
2023-03-20T23:24:20+02:00,March Equinox,['Season'],Rwanda,RW
2023-04-07,Good Friday,['National holiday'],Rwanda,RW
2023-04-07,Tutsi Genocide Memorial Day,['National holiday'],Rwanda,RW
2023-04-10,Easter Monday,['National holiday'],Rwanda,RW
2023-04-21,Eid al-Fitr,['National holiday'],Rwanda,RW
2023-05-01,Labor Day,['National holiday'],Rwanda,RW
2023-06-21T16:57:49+02:00,June Solstice,['Season'],Rwanda,RW
2023-06-28,Eid al-Adha,['National holiday'],Rwanda,RW
2023-07-01,Independence Day,['National holiday'],Rwanda,RW
2023-07-03,Independence Day observed,['National holiday'],Rwanda,RW
2023-07-04,Liberation Day,['National holiday'],Rwanda,RW
2023-08-04,Umuganura Day,['National holiday'],Rwanda,RW
2023-08-15,Assumption of Mary,['National holiday'],Rwanda,RW
2023-09-23T08:50:01+02:00,September Equinox,['Season'],Rwanda,RW
2023-12-22T05:27:21+02:00,December Solstice,['Season'],Rwanda,RW
2023-12-25,Christmas Day,['National holiday'],Rwanda,RW
2023-12-26,Boxing Day,['National holiday'],Rwanda,RW
