Date,Name,Type,Country Name,Country Code
2023-01-01,New Year,['National holiday'],Saint Helena,SH
2023-01-02,Day off for New Year,['National holiday'],Saint Helena,SH
2023-03-20T21:24:20+00:00,March Equinox,['Season'],Saint Helena,SH
2023-04-07,Good Friday,['National holiday'],Saint Helena,SH
2023-04-09,Easter Sunday,['Observance'],Saint Helena,SH
2023-04-10,Easter Monday,['National holiday'],Saint Helena,SH
2023-05-06,Holiday for the Coronation of His Majesty King Charles III,['Observance'],Saint Helena,SH
2023-05-08,Holiday for the Coronation of His Majesty King Charles III,['National holiday'],Saint Helena,SH
2023-05-21,Saint Helena Day,['National holiday'],Saint Helena,SH
2023-05-22,Day off for Saint Helena Day,['National holiday'],Saint Helena,SH
2023-05-29,Whit Monday,['National holiday'],Saint Helena,SH
2023-06-19,King Charles III's Birthday,['National holiday'],Saint Helena,SH
2023-06-21T14:57:49+00:00,June Solstice,['Season'],Saint Helena,SH
2023-08-28,August Bank Holiday,['National holiday'],Saint Helena,SH
2023-09-23T06:50:01+00:00,September Equinox,['Season'],Saint Helena,SH
2023-12-22T03:27:21+00:00,December Solstice,['Season'],Saint Helena,SH
2023-12-25,Christmas Day,['National holiday'],Saint Helena,SH
2023-12-26,Boxing Day,['National holiday'],Saint Helena,SH
