Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Saint Martin,MF
2023-03-20T17:24:20-04:00,March Equinox,['Season'],Saint Martin,MF
2023-04-07,Good Friday,['Observance'],Saint Martin,MF
2023-04-09,Easter Day,['Observance'],Saint Martin,MF
2023-04-10,Easter Monday,['National holiday'],Saint Martin,MF
2023-05-01,Labor Day / May Day,['National holiday'],Saint Martin,MF
2023-05-08,1945 Victory Day,['National holiday'],Saint Martin,MF
2023-05-18,Ascension Day,['National holiday'],Saint Martin,MF
2023-05-28,Whit Sunday,['Observance'],Saint Martin,MF
2023-05-28,Abolition Day,['National holiday'],Saint Martin,MF
2023-05-29,Whit Monday,['National holiday'],Saint Martin,MF
2023-06-21T10:57:49-04:00,June Solstice,['Season'],Saint Martin,MF
2023-07-14,French National Day,['National holiday'],Saint Martin,MF
2023-08-15,Assumption of Mary,['National holiday'],Saint Martin,MF
2023-09-23T02:50:01-04:00,September Equinox,['Season'],Saint Martin,MF
2023-11-01,All Saints' Day,['National holiday'],Saint Martin,MF
2023-11-11,Saint Martin's Day,['National holiday'],Saint Martin,MF
2023-12-21T23:27:21-04:00,December Solstice,['Season'],Saint Martin,MF
2023-12-25,Christmas Day,['National holiday'],Saint Martin,MF
2023-12-26,Boxing Day,['Observance'],Saint Martin,MF
2023-12-31,New Year's Eve,['Observance'],Saint Martin,MF
