Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Saint Pierre and Miquelon,PM
2023-03-12T02:00:00-03:00,Daylight Saving Time starts,['Clock change/Daylight Saving Time'],Saint Pierre and Miquelon,PM
2023-03-20T19:24:20-02:00,March Equinox,['Season'],Saint Pierre and Miquelon,PM
2023-04-10,Easter Monday,['National holiday'],Saint Pierre and Miquelon,PM
2023-05-01,Labor Day / May Day,['National holiday'],Saint Pierre and Miquelon,PM
2023-05-08,Victory Day,['National holiday'],Saint Pierre and Miquelon,PM
2023-05-18,Ascension Day,['National holiday'],Saint Pierre and Miquelon,PM
2023-05-29,Whit Monday,['National holiday'],Saint Pierre and Miquelon,PM
2023-06-21T12:57:49-02:00,June Solstice,['Season'],Saint Pierre and Miquelon,PM
2023-07-14,French National Day,['National holiday'],Saint Pierre and Miquelon,PM
2023-08-15,Assumption of Mary,['National holiday'],Saint Pierre and Miquelon,PM
2023-09-23T04:50:01-02:00,September Equinox,['Season'],Saint Pierre and Miquelon,PM
2023-11-01,All Saints' Day,['National holiday'],Saint Pierre and Miquelon,PM
2023-11-05T02:00:00-02:00,Daylight Saving Time ends,['Clock change/Daylight Saving Time'],Saint Pierre and Miquelon,PM
2023-11-11,Armistice Day,['National holiday'],Saint Pierre and Miquelon,PM
2023-12-22T00:27:21-03:00,December Solstice,['Season'],Saint Pierre and Miquelon,PM
2023-12-25,Christmas Day,['National holiday'],Saint Pierre and Miquelon,PM
2023-12-31,New Year's Eve,['Observance'],Saint Pierre and Miquelon,PM
