Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Saint Vincent and the Grenadines,VC
2023-01-02,Day off for New Year's Day,['National holiday'],Saint Vincent and the Grenadines,VC
2023-03-14,National Heroes Day,['National holiday'],Saint Vincent and the Grenadines,VC
2023-03-20T17:24:20-04:00,March Equinox,['Season'],Saint Vincent and the Grenadines,VC
2023-04-07,Good Friday,['National holiday'],Saint Vincent and the Grenadines,VC
2023-04-10,Easter Monday,['National holiday'],Saint Vincent and the Grenadines,VC
2023-05-01,National Workers Day,['National holiday'],Saint Vincent and the Grenadines,VC
2023-05-29,Whit Monday,['National holiday'],Saint Vincent and the Grenadines,VC
2023-06-21T10:57:49-04:00,June Solstice,['Season'],Saint Vincent and the Grenadines,VC
2023-07-10,Carnival Monday,['National holiday'],Saint Vincent and the Grenadines,VC
2023-07-11,Carnival Tuesday,['National holiday'],Saint Vincent and the Grenadines,VC
2023-08-01,Emancipation Day,['National holiday'],Saint Vincent and the Grenadines,VC
2023-09-23T02:50:01-04:00,September Equinox,['Season'],Saint Vincent and the Grenadines,VC
2023-10-27,Independence Day,['National holiday'],Saint Vincent and the Grenadines,VC
2023-12-21T23:27:21-04:00,December Solstice,['Season'],Saint Vincent and the Grenadines,VC
2023-12-25,Christmas Day,['National holiday'],Saint Vincent and the Grenadines,VC
2023-12-26,Boxing Day,['National holiday'],Saint Vincent and the Grenadines,VC
