Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Samoa,WS
2023-01-02,New Year's Day observed,['National holiday'],Samoa,WS
2023-01-03,Day After New Year's Day,['National holiday'],Samoa,WS
2023-03-21T10:24:20+13:00,March Equinox,['Season'],Samoa,WS
2023-04-07,Good Friday,['National holiday'],Samoa,WS
2023-04-08,Day After Good Friday,['National holiday'],Samoa,WS
2023-04-10,Easter Monday,['National holiday'],Samoa,WS
2023-05-15,Mother's Day,['National holiday'],Samoa,WS
2023-06-01,Independence Day,['National holiday'],Samoa,WS
2023-06-22T03:57:49+13:00,June Solstice,['Season'],Samoa,WS
2023-08-14,Father's Day,['National holiday'],Samoa,WS
2023-09-23T19:50:01+13:00,September Equinox,['Season'],Samoa,WS
2023-10-09,Lotu a Tamaiti,['National holiday'],Samoa,WS
2023-12-22T16:27:21+13:00,December Solstice,['Season'],Samoa,WS
2023-12-25,Christmas Day,['National holiday'],Samoa,WS
2023-12-26,Boxing Day,['National holiday'],Samoa,WS
