Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],San Marino,SM
2023-01-06,Epiphany,['National holiday'],San Marino,SM
2023-02-05,Feast of St Agatha,['National holiday'],San Marino,SM
2023-03-15,Mother's Day,['Observance'],San Marino,SM
2023-03-19,Father's Day,['Observance'],San Marino,SM
2023-03-20T22:24:20+01:00,March Equinox,['Season'],San Marino,SM
2023-03-25,Anniversary of the Arengo,['National holiday'],San Marino,SM
2023-03-26T02:00:00+01:00,Daylight Saving Time starts,['Clock change/Daylight Saving Time'],San Marino,SM
2023-04-01,Investiture Ceremony of the Captains Regent 1,['National holiday'],San Marino,SM
2023-04-07,Good Friday,['Observance'],San Marino,SM
2023-04-08,Holy Saturday,['Observance'],San Marino,SM
2023-04-09,Easter Sunday,['National holiday'],San Marino,SM
2023-04-10,Easter Monday,['National holiday'],San Marino,SM
2023-05-01,Labour Day/May Day,['National holiday'],San Marino,SM
2023-06-08,Corpus Christi,['National holiday'],San Marino,SM
2023-06-21T16:57:49+02:00,June Solstice,['Season'],San Marino,SM
2023-07-28,Anniversary of the Fall of the Fascist Government,['National holiday'],San Marino,SM
2023-08-15,Assumption of Mary,['National holiday'],San Marino,SM
2023-09-03,The Feast of St Marinus and Republic Day,['National holiday'],San Marino,SM
2023-09-23T08:50:01+02:00,September Equinox,['Season'],San Marino,SM
2023-10-01,Investiture Ceremony of the Captains Regent 2,['National holiday'],San Marino,SM
2023-10-29T03:00:00+02:00,Daylight Saving Time ends,['Clock change/Daylight Saving Time'],San Marino,SM
2023-11-01,All Saints' Day,['National holiday'],San Marino,SM
2023-11-02,All Souls' Day,['National holiday'],San Marino,SM
2023-12-08,Feast of the Immaculate Conception,['National holiday'],San Marino,SM
2023-12-22T04:27:21+01:00,December Solstice,['Season'],San Marino,SM
2023-12-24,Christmas Eve,['Observance'],San Marino,SM
2023-12-25,Christmas Day,['National holiday'],San Marino,SM
2023-12-26,Boxing Day,['National holiday'],San Marino,SM
2023-12-31,New Year's Eve,['Observance'],San Marino,SM
