Date,Name,Type,Country Name,Country Code
2023-01-01,New Year,['National holiday'],Sao Tome and Principe,ST
2023-01-02,Day off for New Year,['National holiday'],Sao Tome and Principe,ST
2023-01-04,Day of King Amador,['National holiday'],Sao Tome and Principe,ST
2023-02-03,Commemoration of the Batepá Massacre,['National holiday'],Sao Tome and Principe,ST
2023-03-20T21:24:20+00:00,March Equinox,['Season'],Sao Tome and Principe,ST
2023-05-01,Labour Day,['National holiday'],Sao Tome and Principe,ST
2023-06-21T14:57:49+00:00,June Solstice,['Season'],Sao Tome and Principe,ST
2023-07-12,Independence Day,['National holiday'],Sao Tome and Principe,ST
2023-09-06,Armed Forces' Day,['National holiday'],Sao Tome and Principe,ST
2023-09-23T06:50:01+00:00,September Equinox,['Season'],Sao Tome and Principe,ST
2023-09-29,Day off for Nationalization of the Roças,['National holiday'],Sao Tome and Principe,ST
2023-09-30,Nationalization of the Roças,['National holiday'],Sao Tome and Principe,ST
2023-12-21,São Tomé Day,['National holiday'],Sao Tome and Principe,ST
2023-12-22T03:27:21+00:00,December Solstice,['Season'],Sao Tome and Principe,ST
2023-12-25,Christmas Day,['National holiday'],Sao Tome and Principe,ST
