Date,Name,Type,Country Name,Country Code
2023-02-22,Founding Day,['National holiday'],Saudi Arabia,SA
2023-02-23,Founding Day Public Sector Holiday,['National holiday'],Saudi Arabia,SA
2023-03-11,Flag Day,['Observance'],Saudi Arabia,SA
2023-03-21T00:24:20+03:00,March Equinox,['Season'],Saudi Arabia,SA
2023-03-23,Ramadan begins,['Observance'],Saudi Arabia,SA
2023-04-21,Eid al-Fitr,['National holiday'],Saudi Arabia,SA
2023-04-22,Eid al-Fitr Holiday,['National holiday'],Saudi Arabia,SA
2023-04-23,Eid al-Fitr Holiday,['National holiday'],Saudi Arabia,SA
2023-04-24,Eid al-Fitr Holiday,['National holiday'],Saudi Arabia,SA
2023-04-25,Eid al-Fitr Holiday,['National holiday'],Saudi Arabia,SA
2023-04-26,Eid al-Fitr Holiday,['National holiday'],Saudi Arabia,SA
2023-06-21T17:57:49+03:00,June Solstice,['Season'],Saudi Arabia,SA
2023-06-27,Arafat Day,['National holiday'],Saudi Arabia,SA
2023-06-28,Eid al-Adha,['National holiday'],Saudi Arabia,SA
2023-06-29,Eid al-Adha Holiday,['National holiday'],Saudi Arabia,SA
2023-06-30,Eid al-Adha Holiday,['National holiday'],Saudi Arabia,SA
2023-07-19,Muharram (Muslim New Year),['Observance'],Saudi Arabia,SA
2023-09-23,Saudi National Day,['National holiday'],Saudi Arabia,SA
2023-09-23T09:50:01+03:00,September Equinox,['Season'],Saudi Arabia,SA
2023-09-24,Day off for Saudi National Day,['National holiday'],Saudi Arabia,SA
2023-12-22T06:27:21+03:00,December Solstice,['Season'],Saudi Arabia,SA
