Date,Name,Type,Country Name,Country Code
2023-01-01,New Year,['National holiday'],Senegal,SN
2023-03-20T21:24:20+00:00,March Equinox,['Season'],Senegal,SN
2023-03-23,Ramadan Start,['Observance'],Senegal,SN
2023-04-04,Independence Day,['National holiday'],Senegal,SN
2023-04-10,Easter Monday,['National holiday'],Senegal,SN
2023-04-22,Korité,['National holiday'],Senegal,SN
2023-05-01,Labour Day,['National holiday'],Senegal,SN
2023-05-18,Ascension Day,['National holiday'],Senegal,SN
2023-05-28,Mother's Day,['Observance'],Senegal,SN
2023-05-29,Whit Monday,['National holiday'],Senegal,SN
2023-06-18,Father's Day,['Observance'],Senegal,SN
2023-06-21T14:57:49+00:00,June Solstice,['Season'],Senegal,SN
2023-06-29,Tabaski,['National holiday'],Senegal,SN
2023-07-28,Tamkharit,['National holiday'],Senegal,SN
2023-08-15,Assumption of Mary,['National holiday'],Senegal,SN
2023-09-04,Grand Magal de Touba,['National holiday'],Senegal,SN
2023-09-23T06:50:01+00:00,September Equinox,['Season'],Senegal,SN
2023-09-27,Maouloud,['National holiday'],Senegal,SN
2023-11-01,All Saints' Day,['National holiday'],Senegal,SN
2023-12-22T03:27:21+00:00,December Solstice,['Season'],Senegal,SN
2023-12-25,Christmas Day,['National holiday'],Senegal,SN
