Date,Name,Type,Country Name,Country Code
2023-01-01,Father's Day,"['Observance', 'Orthodox']",Serbia,RS
2023-01-01,Western New Year's Day,['National holiday'],Serbia,RS
2023-01-02,Second Day of Western New Year's Day,['National holiday'],Serbia,RS
2023-01-03,Day off for Western New Year's Day,['National holiday'],Serbia,RS
2023-01-06,First Day of Baptism,"['Orthodox', 'Optional holiday']",Serbia,RS
2023-01-07,Christmas Day,"['National holiday', 'Orthodox']",Serbia,RS
2023-01-14,New Year,"['Observance', 'Orthodox']",Serbia,RS
2023-01-27,Spirituality Day/St Sava's Day,['Observance'],Serbia,RS
2023-02-15,Statehood Day of the Republic of Serbia,['National holiday'],Serbia,RS
2023-02-16,Statehood Day of the Republic of Serbia (Day 2),['National holiday'],Serbia,RS
2023-03-20T22:24:20+01:00,March Equinox,['Season'],Serbia,RS
2023-03-23,Ramadan Start,['Observance'],Serbia,RS
2023-04-07,Western Good Friday,"['Christian', 'Optional holiday']",Serbia,RS
2023-04-08,Western Easter Saturday,"['Christian', 'Optional holiday']",Serbia,RS
2023-04-09,Western Easter Sunday,"['Christian', 'Optional holiday']",Serbia,RS
2023-04-10,Western Easter Monday,"['Christian', 'Optional holiday']",Serbia,RS
2023-04-14,Good Friday,"['National holiday', 'Orthodox']",Serbia,RS
2023-04-15,Holy Saturday,"['National holiday', 'Orthodox']",Serbia,RS
2023-04-16,Easter Day,"['National holiday', 'Orthodox']",Serbia,RS
2023-04-17,Easter Monday,"['National holiday', 'Orthodox']",Serbia,RS
2023-04-21,Eid al-Fitr,"['Muslim', 'Optional holiday']",Serbia,RS
2023-04-22,Holocaust Remembrance Day,['Observance'],Serbia,RS
2023-05-01,Labor holiday,['National holiday'],Serbia,RS
2023-05-02,Labor Day Holiday,['National holiday'],Serbia,RS
2023-05-09,Victory Day,['Observance'],Serbia,RS
2023-06-21T16:57:49+02:00,June Solstice,['Season'],Serbia,RS
2023-06-28,St Vitus' Day,['Observance'],Serbia,RS
2023-06-29,First Day of Eid al-Adha,"['Muslim', 'Optional holiday']",Serbia,RS
2023-09-23T08:50:01+02:00,September Equinox,['Season'],Serbia,RS
2023-09-25,Yom Kippur,"['Hebrew', 'Optional holiday']",Serbia,RS
2023-10-21,World War II Victims Remembrance Day,['Observance'],Serbia,RS
2023-11-11,Armistice Day,['National holiday'],Serbia,RS
2023-12-22T04:27:21+01:00,December Solstice,['Season'],Serbia,RS
2023-12-24,Mother's Day,"['Observance', 'Orthodox']",Serbia,RS
2023-12-25,First Day of Western Christmas,"['Christian', 'Optional holiday']",Serbia,RS
2023-12-31,Father's Day,"['Observance', 'Orthodox']",Serbia,RS
2023-12-31,Western New Year's Eve,['Observance'],Serbia,RS
