Date,Name,Type,Country Name,Country Code
2023-01-01,New Year,['National holiday'],Seychelles,SC
2023-01-02,New Year holiday,['National holiday'],Seychelles,SC
2023-01-03,Day off for New Year,['National holiday'],Seychelles,SC
2023-03-21T01:24:20+04:00,March Equinox,['Season'],Seychelles,SC
2023-04-07,Good Friday,['National holiday'],Seychelles,SC
2023-04-08,Holy Saturday,['National holiday'],Seychelles,SC
2023-04-09,Easter Sunday,['Observance'],Seychelles,SC
2023-04-10,Easter Monday,['National holiday'],Seychelles,SC
2023-05-01,Labour Day,['National holiday'],Seychelles,SC
2023-06-08,Corpus Christi,['National holiday'],Seychelles,SC
2023-06-18,Constitution Day,['National holiday'],Seychelles,SC
2023-06-19,Day off for Constitution Day,['National holiday'],Seychelles,SC
2023-06-21T18:57:49+04:00,June Solstice,['Season'],Seychelles,SC
2023-06-29,National Day,['National holiday'],Seychelles,SC
2023-08-15,Assumption of Mary,['National holiday'],Seychelles,SC
2023-09-23T10:50:01+04:00,September Equinox,['Season'],Seychelles,SC
2023-11-01,All Saints' Day,['National holiday'],Seychelles,SC
2023-12-08,Immaculate Conception,['National holiday'],Seychelles,SC
2023-12-22T07:27:21+04:00,December Solstice,['Season'],Seychelles,SC
2023-12-25,Christmas Day,['National holiday'],Seychelles,SC
