Date,Name,Type,Country Name,Country Code
2023-01-01,New Year,['National holiday'],Sierra Leone,SL
2023-01-02,Day off for New Year,['National holiday'],Sierra Leone,SL
2023-02-18,Armed Forces Day,['National holiday'],Sierra Leone,SL
2023-02-22,Day off for Armed Forces Day,['National holiday'],Sierra Leone,SL
2023-03-08,International Women's Day,['National holiday'],Sierra Leone,SL
2023-03-20T21:24:20+00:00,March Equinox,['Season'],Sierra Leone,SL
2023-03-23,Ramadan Start,['Observance'],Sierra Leone,SL
2023-04-07,Good Friday,['National holiday'],Sierra Leone,SL
2023-04-10,Easter Monday,['National holiday'],Sierra Leone,SL
2023-04-21,Eid al-Fitr,['National holiday'],Sierra Leone,SL
2023-04-27,Independence Day,['National holiday'],Sierra Leone,SL
2023-05-01,International Worker’s Day,['National holiday'],Sierra Leone,SL
2023-06-21T14:57:49+00:00,June Solstice,['Season'],Sierra Leone,SL
2023-06-28,Tabaski,['National holiday'],Sierra Leone,SL
2023-09-23T06:50:01+00:00,September Equinox,['Season'],Sierra Leone,SL
2023-09-27,The Prophet's Birthday,['National holiday'],Sierra Leone,SL
2023-12-22T03:27:21+00:00,December Solstice,['Season'],Sierra Leone,SL
2023-12-25,Christmas Day,['National holiday'],Sierra Leone,SL
2023-12-26,Boxing Day,['National holiday'],Sierra Leone,SL
