Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Singapore,SG
2023-01-02,New Year's Day observed,['National holiday'],Singapore,SG
2023-01-22,Lunar New Year's Day,['National holiday'],Singapore,SG
2023-01-23,Second Day of Lunar New Year,['National holiday'],Singapore,SG
2023-01-24,Day off for Lunar New Year's Day,['National holiday'],Singapore,SG
2023-02-05,Thaipusam,['Observance'],Singapore,SG
2023-02-14,Valentine's Day,['Observance'],Singapore,SG
2023-02-15,Total Defense Day,['Observance'],Singapore,SG
2023-03-08,International Women's Day,['Observance'],Singapore,SG
2023-03-21T05:24:20+08:00,March Equinox,['Season'],Singapore,SG
2023-03-23,Ramadan Start,['Observance'],Singapore,SG
2023-04-01,April Fool's Day,['Observance'],Singapore,SG
2023-04-07,Good Friday,['National holiday'],Singapore,SG
2023-04-08,Easter Saturday,['Observance'],Singapore,SG
2023-04-09,Easter Sunday,['Observance'],Singapore,SG
2023-04-22,Hari Raya Puasa,['National holiday'],Singapore,SG
2023-05-01,Labour Day,['National holiday'],Singapore,SG
2023-05-14,Mother's Day,['Observance'],Singapore,SG
2023-05-18,International Museum Day,['Observance'],Singapore,SG
2023-06-02,Vesak Day,['National holiday'],Singapore,SG
2023-06-18,Father's Day,['Observance'],Singapore,SG
2023-06-21T22:57:49+08:00,June Solstice,['Season'],Singapore,SG
2023-06-29,Hari Raya Haji,['National holiday'],Singapore,SG
2023-07-01,Singapore Armed Forces Day,['Observance'],Singapore,SG
2023-07-21,Racial Harmony Day,['Observance'],Singapore,SG
2023-08-09,National Day,['National holiday'],Singapore,SG
2023-09-01,Teachers' Day,['Observance'],Singapore,SG
2023-09-23T14:50:01+08:00,September Equinox,['Season'],Singapore,SG
2023-10-06,Children's Day,['Observance'],Singapore,SG
2023-11-12,Diwali/Deepavali,['National holiday'],Singapore,SG
2023-11-13,Day off for Diwali/Deepavali,['National holiday'],Singapore,SG
2023-12-22T11:27:21+08:00,December Solstice,['Season'],Singapore,SG
2023-12-24,Christmas Eve,['Observance'],Singapore,SG
2023-12-25,Christmas Day,['National holiday'],Singapore,SG
2023-12-31,New Year's Eve,['Observance'],Singapore,SG
