Date,Name,Type,Country Name,Country Code
2023-01-01,Republic Day,['National holiday'],Slovakia,SK
2023-01-06,Epiphany,['National holiday'],Slovakia,SK
2023-03-20T22:24:20+01:00,March Equinox,['Season'],Slovakia,SK
2023-03-25,Struggle for Human Rights Day,['Observance'],Slovakia,SK
2023-04-07,Good Friday,['National holiday'],Slovakia,SK
2023-04-09,Easter Sunday,"['Observance', 'Christian']",Slovakia,SK
2023-04-10,Easter Monday,['National holiday'],Slovakia,SK
2023-04-13,Unfairly Prosecuted Persons Day,['Observance'],Slovakia,SK
2023-05-01,Labor Day,['National holiday'],Slovakia,SK
2023-05-01,Accession to the European Union Day,['Observance'],Slovakia,SK
2023-05-04,Death Anniversary of M. R. Štefánik,['Observance'],Slovakia,SK
2023-05-08,Day of Victory Over Fascism,['National holiday'],Slovakia,SK
2023-05-14,Mother's Day,['Observance'],Slovakia,SK
2023-06-07,Anniversary of the Memorandum of the Slovak Nation,['Observance'],Slovakia,SK
2023-06-18,Father's Day,['Observance'],Slovakia,SK
2023-06-21,Day of the Departure of the Soviet Army from Czechoslovakia,['Observance'],Slovakia,SK
2023-06-21T16:57:49+02:00,June Solstice,['Season'],Slovakia,SK
2023-06-24,Remembrance Day for the Victims of the Communist Regime,['Observance'],Slovakia,SK
2023-07-05,St. Cyril & St. Methodius Day,['National holiday'],Slovakia,SK
2023-07-05,Foreign Slovaks Day,['Observance'],Slovakia,SK
2023-07-17,Anniversary of the Declaration of Sovereignty of the Slovak Republic,['Observance'],Slovakia,SK
2023-08-04,Matice Slovenska Day,['Observance'],Slovakia,SK
2023-08-10,Day of the Victims of Mining Disasters,['Observance'],Slovakia,SK
2023-08-21,Day of the Victims of the Occupation of Czechoslovakia,['Observance'],Slovakia,SK
2023-08-29,National Uprising Day,['National holiday'],Slovakia,SK
2023-09-01,Constitution Day,['National holiday'],Slovakia,SK
2023-09-09,Day of the Victims of Holocaust and of racial violence,['Observance'],Slovakia,SK
2023-09-15,Day of Our Lady of Sorrows,['National holiday'],Slovakia,SK
2023-09-19,Foundation of the Slovak National Council Day,['Observance'],Slovakia,SK
2023-09-23T08:50:01+02:00,September Equinox,['Season'],Slovakia,SK
2023-10-06,Day of the Heroes of the Carpathian-Duklian Operation,['Observance'],Slovakia,SK
2023-10-12,Samizdat Day,['Observance'],Slovakia,SK
2023-10-27,Černová Tragedy Day,['Observance'],Slovakia,SK
2023-10-28,Establishment of the Independent Czecho-Slovak State,['Observance'],Slovakia,SK
2023-10-29,Birth of Ľudovíta Štúr,['Observance'],Slovakia,SK
2023-10-30,Anniversary of the Declaration of the Slovak Nation,['Observance'],Slovakia,SK
2023-10-31,Reformation Day,['Observance'],Slovakia,SK
2023-11-01,All Saints' Day,['National holiday'],Slovakia,SK
2023-11-17,Fight for Freedom and Democracy Day,['National holiday'],Slovakia,SK
2023-12-22T04:27:21+01:00,December Solstice,['Season'],Slovakia,SK
2023-12-24,Christmas Eve,['National holiday'],Slovakia,SK
2023-12-25,Christmas Day,['National holiday'],Slovakia,SK
2023-12-26,St. Stephen's Day,['National holiday'],Slovakia,SK
2023-12-30,Day of the Declaration of Slovakia as an Independent Ecclesiastic Province,['Observance'],Slovakia,SK
