Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Slovenia,SI
2023-01-02,New Year holiday,['National holiday'],Slovenia,SI
2023-02-08,Prešeren Day,['National holiday'],Slovenia,SI
2023-03-20T22:24:20+01:00,March Equinox,['Season'],Slovenia,SI
2023-03-25,Mother's Day,['Observance'],Slovenia,SI
2023-04-09,Easter Sunday,['National holiday'],Slovenia,SI
2023-04-10,Easter Monday,['National holiday'],Slovenia,SI
2023-04-27,Day of Uprising Against Occupation,['National holiday'],Slovenia,SI
2023-05-01,Labor Day / May Day,['National holiday'],Slovenia,SI
2023-05-02,Labour Day holiday,['National holiday'],Slovenia,SI
2023-05-28,Whit Sunday,['National holiday'],Slovenia,SI
2023-06-08,Primož Trubar Day,['Observance'],Slovenia,SI
2023-06-18,Father's Day,['Observance'],Slovenia,SI
2023-06-21T16:57:49+02:00,June Solstice,['Season'],Slovenia,SI
2023-06-25,Statehood Day,['National holiday'],Slovenia,SI
2023-08-15,Assumption of Mary,['National holiday'],Slovenia,SI
2023-08-17,Slovenians in Prekmurje Incorporated into the Mother Nation Day,['Observance'],Slovenia,SI
2023-09-15,Restoration of Primorska to the Motherland Day,['Observance'],Slovenia,SI
2023-09-23,Slovenian Sports Day,['Observance'],Slovenia,SI
2023-09-23T08:50:01+02:00,September Equinox,['Season'],Slovenia,SI
2023-10-25,Sovereignty Day,['Observance'],Slovenia,SI
2023-10-31,Reformation Day,['National holiday'],Slovenia,SI
2023-11-01,Remembrance Day,['National holiday'],Slovenia,SI
2023-11-23,Rudolf Maister Day,['Observance'],Slovenia,SI
2023-12-22T04:27:21+01:00,December Solstice,['Season'],Slovenia,SI
2023-12-25,Christmas Day,['National holiday'],Slovenia,SI
2023-12-26,Independence and Unity Day,['National holiday'],Slovenia,SI
