Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Solomon Islands,SB
2023-01-02,Day off for New Year's Day,['National holiday'],Solomon Islands,SB
2023-02-25,Choiseul Province Day,['Local holiday'],Solomon Islands,SB
2023-03-21T08:24:20+11:00,March Equinox,['Season'],Solomon Islands,SB
2023-04-07,Good Friday,['National holiday'],Solomon Islands,SB
2023-04-08,Holy Saturday,['National holiday'],Solomon Islands,SB
2023-04-09,Easter Sunday,['Observance'],Solomon Islands,SB
2023-04-10,Easter Monday,['National holiday'],Solomon Islands,SB
2023-05-29,Whit Monday,['Observance'],Solomon Islands,SB
2023-06-02,Isabel Province Day,['Local holiday'],Solomon Islands,SB
2023-06-08,Temotu Province Day,['Local holiday'],Solomon Islands,SB
2023-06-16,King’s Birthday,['National holiday'],Solomon Islands,SB
2023-06-22T01:57:49+11:00,June Solstice,['Season'],Solomon Islands,SB
2023-06-29,Central Province Day,['Local holiday'],Solomon Islands,SB
2023-07-07,Independence Day,['National holiday'],Solomon Islands,SB
2023-07-20,Rennell and Bellona Province Day,['Local holiday'],Solomon Islands,SB
2023-08-01,Gualdalcanal Province Day,['Local holiday'],Solomon Islands,SB
2023-08-03,Makira-Ulawa Province Day,['Local holiday'],Solomon Islands,SB
2023-08-15,Malaita Province Day,['Local holiday'],Solomon Islands,SB
2023-09-23T17:50:01+11:00,September Equinox,['Season'],Solomon Islands,SB
2023-12-07,Western Province Day,['Local holiday'],Solomon Islands,SB
2023-12-22T14:27:21+11:00,December Solstice,['Season'],Solomon Islands,SB
2023-12-25,Christmas Day,['National holiday'],Solomon Islands,SB
2023-12-26,National Day of Thanksgiving,['National holiday'],Solomon Islands,SB
