Date,Name,Type,Country Name,Country Code
2023-01-01,New Year,['National holiday'],Somalia,SO
2023-02-18,Isra and Mi'raj,['Common local holiday'],Somalia,SO
2023-03-21T00:24:20+03:00,March Equinox,['Season'],Somalia,SO
2023-03-23,Ramadan Start,['Observance'],Somalia,SO
2023-04-21,Eid al-Fitr,['National holiday'],Somalia,SO
2023-04-22,Eid al-Fitr Holiday,['Common local holiday'],Somalia,SO
2023-05-01,May Day,['National holiday'],Somalia,SO
2023-05-18,Restoration of Somaliland Sovereignty,['Common local holiday'],Somalia,SO
2023-05-19,Restoration of Somaliland Sovereignty Holiday,['Common local holiday'],Somalia,SO
2023-06-21T17:57:49+03:00,June Solstice,['Season'],Somalia,SO
2023-06-26,Independence Day,['National holiday'],Somalia,SO
2023-06-28,Eid al-Adha,['National holiday'],Somalia,SO
2023-06-29,Eid al-Adha Holiday,['Common local holiday'],Somalia,SO
2023-07-01,Republic Day,['Common local holiday'],Somalia,SO
2023-07-19,Muharram,['Common local holiday'],Somalia,SO
2023-07-28,Ashura,['National holiday'],Somalia,SO
2023-09-23T09:50:01+03:00,September Equinox,['Season'],Somalia,SO
2023-09-27,The Prophet's Birthday,['National holiday'],Somalia,SO
2023-12-22T06:27:21+03:00,December Solstice,['Season'],Somalia,SO
