Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],South Africa,ZA
2023-01-02,Day off for New Year's Day,['National holiday'],South Africa,ZA
2023-01-02,Tweede Nuwe Jaar,['Observance'],South Africa,ZA
2023-02-18,Maha Shivaratri,['Hinduism'],South Africa,ZA
2023-02-18,Isra and Mi'raj,['Muslim'],South Africa,ZA
2023-02-21,Armed Forces Day,['Observance'],South Africa,ZA
2023-03-07,Holi,['Hinduism'],South Africa,ZA
2023-03-20T23:24:20+02:00,March Equinox,['Season'],South Africa,ZA
2023-03-21,Human Rights Day,['National holiday'],South Africa,ZA
2023-03-24,Ramadan Start,['Muslim'],South Africa,ZA
2023-04-07,Good Friday,['National holiday'],South Africa,ZA
2023-04-08,Holy Saturday,"['Observance', 'Christian']",South Africa,ZA
2023-04-09,Easter Sunday,"['Observance', 'Christian']",South Africa,ZA
2023-04-10,Family Day,['National holiday'],South Africa,ZA
2023-04-17,Laylatul Qadr (Night of Power),['Muslim'],South Africa,ZA
2023-04-22,Eid ul Fitr,['Muslim'],South Africa,ZA
2023-04-27,Freedom Day,['National holiday'],South Africa,ZA
2023-05-01,Workers' Day,['National holiday'],South Africa,ZA
2023-05-14,Mother's Day,['Observance'],South Africa,ZA
2023-06-16,Youth Day,['National holiday'],South Africa,ZA
2023-06-18,Father's Day,['Observance'],South Africa,ZA
2023-06-21T16:57:49+02:00,June Solstice,['Season'],South Africa,ZA
2023-06-29,Eid al-Adha,['Muslim'],South Africa,ZA
2023-07-18,Nelson Mandela Day,['Observance'],South Africa,ZA
2023-07-20,Muharram/Islamic New Year,['Muslim'],South Africa,ZA
2023-08-09,National Women's Day,['National holiday'],South Africa,ZA
2023-08-30,Raksha Bandhan,['Hinduism'],South Africa,ZA
2023-09-07,Janmashtami,['Hinduism'],South Africa,ZA
2023-09-18,Ganesh Chaturthi,['Hinduism'],South Africa,ZA
2023-09-23T08:50:01+02:00,September Equinox,['Season'],South Africa,ZA
2023-09-24,Heritage Day,['National holiday'],South Africa,ZA
2023-09-25,Day off for Heritage Day,['National holiday'],South Africa,ZA
2023-09-27,Milad un Nabi (Mawlid),['Muslim'],South Africa,ZA
2023-10-15,Navaratri,['Hinduism'],South Africa,ZA
2023-10-23,Dussehra,['Hinduism'],South Africa,ZA
2023-11-12,Diwali/Deepavali,['Hinduism'],South Africa,ZA
2023-12-16,Day of Reconciliation,['National holiday'],South Africa,ZA
2023-12-22T05:27:21+02:00,December Solstice,['Season'],South Africa,ZA
2023-12-24,Christmas Eve,"['Observance', 'Christian']",South Africa,ZA
2023-12-25,Christmas Day,['National holiday'],South Africa,ZA
2023-12-26,Day of Goodwill,['National holiday'],South Africa,ZA
2023-12-31,New Year's Eve,['Observance'],South Africa,ZA
