Date,Name,Type,Country Name,Country Code
2023-01-01,New Year,['National holiday'],South Sudan,SS
2023-01-09,Peace Agreement Day,['National holiday'],South Sudan,SS
2023-02-03,Papal Visit Holiday,['National holiday'],South Sudan,SS
2023-02-14,Valentine's Day,['Observance'],South Sudan,SS
2023-03-08,International Women's Day,['Observance'],South Sudan,SS
2023-03-20T23:24:20+02:00,March Equinox,['Season'],South Sudan,SS
2023-04-09,Easter Sunday,['Common local holiday'],South Sudan,SS
2023-04-21,Eid al-Fitr,['National holiday'],South Sudan,SS
2023-04-22,Eid al-Fitr Holiday,['National holiday'],South Sudan,SS
2023-04-23,Eid al-Fitr Holiday,['National holiday'],South Sudan,SS
2023-05-01,May Day,['National holiday'],South Sudan,SS
2023-05-16,SPLA Day,['National holiday'],South Sudan,SS
2023-06-10,Father's Day,['Observance'],South Sudan,SS
2023-06-21T16:57:49+02:00,June Solstice,['Season'],South Sudan,SS
2023-06-28,Eid al-Adha,['National holiday'],South Sudan,SS
2023-06-29,Eid al-Adha Holiday,['National holiday'],South Sudan,SS
2023-06-30,Eid al-Adha Holiday,['National holiday'],South Sudan,SS
2023-07-03,Mother's Day,['Observance'],South Sudan,SS
2023-07-09,Independence Day,['National holiday'],South Sudan,SS
2023-07-10,Day off for Independence Day,['National holiday'],South Sudan,SS
2023-07-30,Martyrs Day,['National holiday'],South Sudan,SS
2023-07-31,Day off for Martyrs Day,['National holiday'],South Sudan,SS
2023-09-23T08:50:01+02:00,September Equinox,['Season'],South Sudan,SS
2023-11-12,Grandparents' Day,['Observance'],South Sudan,SS
2023-12-22T05:27:21+02:00,December Solstice,['Season'],South Sudan,SS
2023-12-25,Christmas Day,['National holiday'],South Sudan,SS
2023-12-28,Republic Day,['Observance'],South Sudan,SS
2023-12-31,New Year's Eve,['Observance'],South Sudan,SS
