Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['Observance'],Spain,ES
2023-01-02,New Year's Day Holiday,['Local holiday'],Spain,ES
2023-01-06,Epiphany,['National holiday'],Spain,ES
2023-01-23,Day of Saint Ildefonso,['Observance'],Spain,ES
2023-02-14,Valentine's Day,['Observance'],Spain,ES
2023-02-21,Carnival Tuesday,['Observance'],Spain,ES
2023-02-21,Carnival Tuesday,['Local holiday'],Spain,ES
2023-02-26,Ash Wednesday,['Observance'],Spain,ES
2023-02-28,Day of Andalucía,['Local holiday'],Spain,ES
2023-03-01,Day of the Balearic Islands,['Local holiday'],Spain,ES
2023-03-19,Father's Day,['Observance'],Spain,ES
2023-03-19,San Jose,['Observance'],Spain,ES
2023-03-19,San Jose,['Local holiday'],Spain,ES
2023-03-20,Day off for San Jose,['Local holiday'],Spain,ES
2023-03-20T22:24:20+01:00,March Equinox,['Season'],Spain,ES
2023-03-26T02:00:00+01:00,Daylight Saving Time starts,['Clock change/Daylight Saving Time'],Spain,ES
2023-04-02,Palm Sunday,['Observance'],Spain,ES
2023-04-06,Maundy Thursday,['Local holiday'],Spain,ES
2023-04-07,Good Friday,['National holiday'],Spain,ES
2023-04-09,Easter Sunday,['Observance'],Spain,ES
2023-04-10,Easter Monday,['Local holiday'],Spain,ES
2023-04-14,Sermon of the Tortillas,['Observance'],Spain,ES
2023-04-22,Eid al-Fitr,['Observance'],Spain,ES
2023-04-22,Eid al-Fitr,['Local holiday'],Spain,ES
2023-04-23,Santa Faz,['Observance'],Spain,ES
2023-04-23,Day of Aragón,['Local holiday'],Spain,ES
2023-04-23,St George's Day,['Local observance'],Spain,ES
2023-04-23,Castile and León Day,['Local holiday'],Spain,ES
2023-04-24,Day off for Day of Aragón,['Local holiday'],Spain,ES
2023-04-28,San Prudencio,['Observance'],Spain,ES
2023-05-01,Labor Day / May Day,['National holiday'],Spain,ES
2023-05-02,Day of Madrid,['Local holiday'],Spain,ES
2023-05-07,Mothers' Day,['Observance'],Spain,ES
2023-05-17,Galicia Literature Day,['Local holiday'],Spain,ES
2023-05-28,Whit Sunday/Pentecost,['Observance'],Spain,ES
2023-05-30,Day of the Canary Islands,['Local holiday'],Spain,ES
2023-05-31,Day of Castile-La Mancha,['Local holiday'],Spain,ES
2023-06-08,Corpus Christi,['Local holiday'],Spain,ES
2023-06-09,Day of Murcia,['Local holiday'],Spain,ES
2023-06-09,Day of La Rioja,['Local holiday'],Spain,ES
2023-06-21T16:57:49+02:00,June Solstice,['Season'],Spain,ES
2023-06-24,Saint John the Baptist Day,['Observance'],Spain,ES
2023-06-24,Saint John the Baptist Day,['Local holiday'],Spain,ES
2023-06-24,Saint John the Baptist Day,['Observance'],Spain,ES
2023-06-29,Eid al-Adha,['Local holiday'],Spain,ES
2023-07-13,Festival of the Vaquillas,['Observance'],Spain,ES
2023-07-25,Feast of Saint James the Apostle,['Local holiday'],Spain,ES
2023-07-25,Feast of Saint James the Apostle,['Observance'],Spain,ES
2023-07-28,Day of the Institutions,['Local holiday'],Spain,ES
2023-08-05,The Day of Our Lady of Africa,['Local holiday'],Spain,ES
2023-08-13,The Day of Cantabria,['Local observance'],Spain,ES
2023-08-15,Assumption of Mary,['National holiday'],Spain,ES
2023-08-19,Feast of Saint Maginus,['Observance'],Spain,ES
2023-09-02,Day of the Independent City of Ceuta,['Local holiday'],Spain,ES
2023-09-08,Day of Asturias,['Local holiday'],Spain,ES
2023-09-08,Day of Extremadura,['Local holiday'],Spain,ES
2023-09-11,National Day of Catalonia,['Local holiday'],Spain,ES
2023-09-15,Nuestra Señora de la Bien Aparecida,['Local holiday'],Spain,ES
2023-09-23,Day of Saint Tecla,['Observance'],Spain,ES
2023-09-23T08:50:01+02:00,September Equinox,['Season'],Spain,ES
2023-10-09,Day of the Valencian Community,['Local holiday'],Spain,ES
2023-10-12,Hispanic Day,['National holiday'],Spain,ES
2023-10-29T03:00:00+02:00,Daylight Saving Time ends,['Clock change/Daylight Saving Time'],Spain,ES
2023-11-01,All Saints' Day,['National holiday'],Spain,ES
2023-12-06,Constitution Day,['National holiday'],Spain,ES
2023-12-08,Immaculate Conception,['National holiday'],Spain,ES
2023-12-09,Day of Saint Leocadia,['Observance'],Spain,ES
2023-12-22T04:27:21+01:00,December Solstice,['Season'],Spain,ES
2023-12-24,Christmas Eve,['Observance'],Spain,ES
2023-12-25,Christmas Day,['National holiday'],Spain,ES
2023-12-26,St Stephen's Day,['Observance'],Spain,ES
2023-12-26,St Stephen's Day,['Local holiday'],Spain,ES
2023-12-31,Feast of the Holy Family,['Observance'],Spain,ES
2023-12-31,New Year's Eve,['Observance'],Spain,ES
