Date,Name,Type,Country Name,Country Code
2023-01-06,Duruthu Full Moon Poya Day,['National holiday'],Sri Lanka,LK
2023-01-15,Tamil Thai Pongal Day,['National holiday'],Sri Lanka,LK
2023-01-16,Special Bank Holiday,['National holiday'],Sri Lanka,LK
2023-02-04,National Day,['National holiday'],Sri Lanka,LK
2023-02-05,Navam Full Moon Poya Day,['National holiday'],Sri Lanka,LK
2023-02-14,Valentine's Day,['Observance'],Sri Lanka,LK
2023-02-18,Mahasivarathri Day,['National holiday'],Sri Lanka,LK
2023-03-06,Madin Full Moon Poya Day,['National holiday'],Sri Lanka,LK
2023-03-08,Holi,['Hinduism'],Sri Lanka,LK
2023-03-21T02:54:20+05:30,March Equinox,['Season'],Sri Lanka,LK
2023-03-24,Ramadan Start,['Observance'],Sri Lanka,LK
2023-04-05,Bak Full Moon Poya Day,['National holiday'],Sri Lanka,LK
2023-04-07,Good Friday,['National holiday'],Sri Lanka,LK
2023-04-09,Easter Sunday,['Observance'],Sri Lanka,LK
2023-04-13,Sinhala and Tamil New Year's Eve,['National holiday'],Sri Lanka,LK
2023-04-14,Sinhala and Tamil New Year's Day,['National holiday'],Sri Lanka,LK
2023-04-22,Eid al-Fitr,['National holiday'],Sri Lanka,LK
2023-05-01,May Day,['National holiday'],Sri Lanka,LK
2023-05-05,Vesak Full Moon Poya Day,['National holiday'],Sri Lanka,LK
2023-05-06,Day after Vesak Full Moon Poya Day,['National holiday'],Sri Lanka,LK
2023-05-14,Mother's Day,['Observance'],Sri Lanka,LK
2023-06-03,Poson Full Moon Poya Day,['National holiday'],Sri Lanka,LK
2023-06-18,Father's Day,['Observance'],Sri Lanka,LK
2023-06-21T20:27:49+05:30,June Solstice,['Season'],Sri Lanka,LK
2023-06-29,Eid al-Adha,['National holiday'],Sri Lanka,LK
2023-07-03,Adhi Esala Full Moon Poya Day,['National holiday'],Sri Lanka,LK
2023-08-01,Esala Full Moon Poya Day,['National holiday'],Sri Lanka,LK
2023-08-30,Raksha Bandhan,['Hinduism'],Sri Lanka,LK
2023-08-30,Nikini Full Moon Poya Day,['National holiday'],Sri Lanka,LK
2023-09-19,Ganesh Chaturthi,['Hinduism'],Sri Lanka,LK
2023-09-23T12:20:01+05:30,September Equinox,['Season'],Sri Lanka,LK
2023-09-28,Milad-Un-Nabi (Holy Prophet's Birthday),['National holiday'],Sri Lanka,LK
2023-09-29,Binara Full Moon Poya Day,['National holiday'],Sri Lanka,LK
2023-10-24,Dussehra,['Hinduism'],Sri Lanka,LK
2023-10-28,Vap Full Moon Poya Day,['National holiday'],Sri Lanka,LK
2023-11-12,Deepavali,['National holiday'],Sri Lanka,LK
2023-11-26,Ill Full Moon Poya Day,['National holiday'],Sri Lanka,LK
2023-12-22T08:57:21+05:30,December Solstice,['Season'],Sri Lanka,LK
2023-12-24,Christmas Eve,['Observance'],Sri Lanka,LK
2023-12-25,Christmas Day,['National holiday'],Sri Lanka,LK
2023-12-26,Unduvap Full Moon Poya Day,['National holiday'],Sri Lanka,LK
