Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],St. Barts,BL
2023-02-20,Carnival / Shrove Monday,['Observance'],St. Barts,BL
2023-02-21,Carnival / Shrove Tuesday,['Observance'],St. Barts,BL
2023-02-22,Carnival / Ash Wednesday,['Observance'],St. Barts,BL
2023-03-20T17:24:20-04:00,March Equinox,['Season'],St. Barts,BL
2023-04-07,Good Friday,['Observance'],St. Barts,BL
2023-04-09,Easter Sunday,['Observance'],St. Barts,BL
2023-04-10,Easter Monday,['National holiday'],St. Barts,BL
2023-05-01,Labor Day / May Day,['National holiday'],St. Barts,BL
2023-05-08,Victory Day,['National holiday'],St. Barts,BL
2023-05-18,Ascension Day,['National holiday'],St. Barts,BL
2023-05-29,Whit Monday,['National holiday'],St. Barts,BL
2023-06-21T10:57:49-04:00,June Solstice,['Season'],St. Barts,BL
2023-07-14,French National Day,['National holiday'],St. Barts,BL
2023-08-15,Assumption of Mary,['National holiday'],St. Barts,BL
2023-09-23T02:50:01-04:00,September Equinox,['Season'],St. Barts,BL
2023-10-09,Abolition Day,['National holiday'],St. Barts,BL
2023-11-01,All Saints' Day,['National holiday'],St. Barts,BL
2023-11-11,Armistice Day,['National holiday'],St. Barts,BL
2023-12-21T23:27:21-04:00,December Solstice,['Season'],St. Barts,BL
2023-12-25,Christmas Day,['National holiday'],St. Barts,BL
2023-12-26,Boxing Day,['Observance'],St. Barts,BL
