Date,Name,Type,Country Name,Country Code
2023-01-01,Independence Day,['National holiday'],Sudan,SD
2023-01-07,Coptic Christmas,['National holiday'],Sudan,SD
2023-03-20T23:24:20+02:00,March Equinox,['Season'],Sudan,SD
2023-03-23,Ramadan Start,['Observance'],Sudan,SD
2023-04-16,Coptic Easter,['National holiday'],Sudan,SD
2023-04-21,Eid al-Fitr,['National holiday'],Sudan,SD
2023-04-22,Eid al-Fitr Holiday,['National holiday'],Sudan,SD
2023-04-23,Eid al-Fitr Holiday,['National holiday'],Sudan,SD
2023-04-24,Eid al-Fitr Holiday,['National holiday'],Sudan,SD
2023-04-25,Eid al-Fitr Holiday,['National holiday'],Sudan,SD
2023-04-26,Eid al-Fitr Holiday,['National holiday'],Sudan,SD
2023-04-27,Eid al-Fitr Holiday,['National holiday'],Sudan,SD
2023-06-21T16:57:49+02:00,June Solstice,['Season'],Sudan,SD
2023-06-27,Eid al-Adha Holiday,['National holiday'],Sudan,SD
2023-06-28,Eid al-Adha,['National holiday'],Sudan,SD
2023-06-29,Eid al-Adha Holiday,['National holiday'],Sudan,SD
2023-06-30,Eid al-Adha Holiday,['National holiday'],Sudan,SD
2023-07-01,Eid al-Adha Holiday,['National holiday'],Sudan,SD
2023-07-19,Muharram,['National holiday'],Sudan,SD
2023-09-23T08:50:01+02:00,September Equinox,['Season'],Sudan,SD
2023-09-27,The Prophet's Birthday,['National holiday'],Sudan,SD
2023-12-22T05:27:21+02:00,December Solstice,['Season'],Sudan,SD
2023-12-25,Christmas Day,['National holiday'],Sudan,SD
