Date,Name,Type,Country Name,Country Code
2023-01-01,New Year,['National holiday'],Suriname,SR
2023-01-22,Lunar New Year,['National holiday'],Suriname,SR
2023-02-25,Revolution Day,['National holiday'],Suriname,SR
2023-03-07,Holi Phagwa,['National holiday'],Suriname,SR
2023-03-20T18:24:20-03:00,March Equinox,['Season'],Suriname,SR
2023-03-23,Ramadan Start,['Observance'],Suriname,SR
2023-04-07,Good Friday,['National holiday'],Suriname,SR
2023-04-09,Easter Sunday,"['Observance', 'Christian']",Suriname,SR
2023-04-10,Easter Monday,['National holiday'],Suriname,SR
2023-04-22,Eid al-Fitr,['National holiday'],Suriname,SR
2023-05-01,Labor Day,['National holiday'],Suriname,SR
2023-06-21T11:57:49-03:00,June Solstice,['Season'],Suriname,SR
2023-06-29,Eid al-Adha,['National holiday'],Suriname,SR
2023-07-01,Freedom Day,['National holiday'],Suriname,SR
2023-08-09,Indigenous Peoples Day,['National holiday'],Suriname,SR
2023-09-23T03:50:01-03:00,September Equinox,['Season'],Suriname,SR
2023-10-10,Day of the Maroons,['National holiday'],Suriname,SR
2023-11-12,Diwali,['National holiday'],Suriname,SR
2023-11-25,Independence Day,['National holiday'],Suriname,SR
2023-12-22T00:27:21-03:00,December Solstice,['Season'],Suriname,SR
2023-12-25,Christmas Day,['National holiday'],Suriname,SR
2023-12-26,Boxing Day,['National holiday'],Suriname,SR
