Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Sweden,SE
2023-01-05,Twelfth Night,['Half-day holiday'],Sweden,SE
2023-01-06,Epiphany,['National holiday'],Sweden,SE
2023-02-14,Valentine's Day,['Observance'],Sweden,SE
2023-03-20T22:24:20+01:00,March Equinox,['Season'],Sweden,SE
2023-03-26T02:00:00+01:00,Daylight Saving Time starts,['Clock change/Daylight Saving Time'],Sweden,SE
2023-04-07,Good Friday,['National holiday'],Sweden,SE
2023-04-08,Holy Saturday,['De facto holiday'],Sweden,SE
2023-04-09,Easter Sunday,['National holiday'],Sweden,SE
2023-04-10,Easter Monday,['National holiday'],Sweden,SE
2023-04-30,Walpurgis Night,['Half-day holiday'],Sweden,SE
2023-05-01,May 1st,['National holiday'],Sweden,SE
2023-05-18,Ascension Day,['National holiday'],Sweden,SE
2023-05-27,Whit Saturday,['De facto holiday'],Sweden,SE
2023-05-28,Whit Sunday,['National holiday'],Sweden,SE
2023-05-28,Mother's Day,['Observance'],Sweden,SE
2023-06-06,National day,['National holiday'],Sweden,SE
2023-06-21T16:57:49+02:00,June Solstice,['Season'],Sweden,SE
2023-06-23,Midsummer Eve,['De facto holiday'],Sweden,SE
2023-06-24,Midsummer Day,['National holiday'],Sweden,SE
2023-09-23T08:50:01+02:00,September Equinox,['Season'],Sweden,SE
2023-10-29T03:00:00+02:00,Daylight Saving Time ends,['Clock change/Daylight Saving Time'],Sweden,SE
2023-11-03,All Saints' Eve,['Half-day holiday'],Sweden,SE
2023-11-04,All Saints' Day,['National holiday'],Sweden,SE
2023-11-12,Father's Day,['Observance'],Sweden,SE
2023-12-03,First Advent Sunday,"['Observance', 'Christian']",Sweden,SE
2023-12-10,Second Advent Sunday,"['Observance', 'Christian']",Sweden,SE
2023-12-17,Third Advent Sunday,"['Observance', 'Christian']",Sweden,SE
2023-12-22T04:27:21+01:00,December Solstice,['Season'],Sweden,SE
2023-12-24,Christmas Eve,['De facto holiday'],Sweden,SE
2023-12-24,Fourth Advent Sunday,"['Observance', 'Christian']",Sweden,SE
2023-12-25,Christmas Day,['National holiday'],Sweden,SE
2023-12-26,Boxing Day,['National holiday'],Sweden,SE
2023-12-31,New Year's Eve,['De facto holiday'],Sweden,SE
