Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['Common local holiday'],Switzerland,CH
2023-01-02,Berchtold Day,['Common local holiday'],Switzerland,CH
2023-01-06,Epiphany,['Common local holiday'],Switzerland,CH
2023-02-14,Valentine's Day,['Observance'],Switzerland,CH
2023-03-01,Republic Day,['Common local holiday'],Switzerland,CH
2023-03-19,Saint Joseph's Day,['Common local holiday'],Switzerland,CH
2023-03-20T22:24:20+01:00,March Equinox,['Season'],Switzerland,CH
2023-03-26T02:00:00+01:00,Daylight Saving Time starts,['Clock change/Daylight Saving Time'],Switzerland,CH
2023-04-06,Näfels Procession,['Common local holiday'],Switzerland,CH
2023-04-07,Good Friday,['Common local holiday'],Switzerland,CH
2023-04-09,Easter Sunday,['Observance'],Switzerland,CH
2023-04-10,Easter Monday,['Common local holiday'],Switzerland,CH
2023-04-17,Sechseläuten,['Observance'],Switzerland,CH
2023-05-01,May Day,['Common local holiday'],Switzerland,CH
2023-05-01,May Day (Half-Day),['Common local holiday'],Switzerland,CH
2023-05-01,May Day (Half-Day),['Observance'],Switzerland,CH
2023-05-14,Mother's Day,['Observance'],Switzerland,CH
2023-05-18,Ascension Day,['Common local holiday'],Switzerland,CH
2023-05-28,Pentecost,['Observance'],Switzerland,CH
2023-05-29,Pentecost Monday,['Common local holiday'],Switzerland,CH
2023-06-04,Father's Day,['Observance'],Switzerland,CH
2023-06-08,Corpus Christi,['Common local holiday'],Switzerland,CH
2023-06-21T16:57:49+02:00,June Solstice,['Season'],Switzerland,CH
2023-06-23,Jura Independence Day,['Common local holiday'],Switzerland,CH
2023-06-29,St. Peter and St. Paul,['Observance'],Switzerland,CH
2023-08-01,Swiss National Day,['National holiday'],Switzerland,CH
2023-08-15,Assumption of Mary,['Common local holiday'],Switzerland,CH
2023-09-07,Genevese Fast,['Common local holiday'],Switzerland,CH
2023-09-09,Knabenschiessen,['Observance'],Switzerland,CH
2023-09-10,Knabenschiessen,['Observance'],Switzerland,CH
2023-09-11,Knabenschiessen,['Observance'],Switzerland,CH
2023-09-17,Swiss Federal Fast,['Observance'],Switzerland,CH
2023-09-18,Federal Fast Monday,['Common local holiday'],Switzerland,CH
2023-09-22,Mauritius Day,['Common local holiday'],Switzerland,CH
2023-09-23T08:50:01+02:00,September Equinox,['Season'],Switzerland,CH
2023-09-25,St. Nicholas of Flüe,['Common local holiday'],Switzerland,CH
2023-10-29T03:00:00+02:00,Daylight Saving Time ends,['Clock change/Daylight Saving Time'],Switzerland,CH
2023-11-01,All Saints' Day,['Common local holiday'],Switzerland,CH
2023-12-08,Immaculate Conception,['Common local holiday'],Switzerland,CH
2023-12-22T04:27:21+01:00,December Solstice,['Season'],Switzerland,CH
2023-12-24,Christmas Eve,['Observance'],Switzerland,CH
2023-12-25,Christmas Day,['Common local holiday'],Switzerland,CH
2023-12-26,St. Stephen's Day,['Common local holiday'],Switzerland,CH
2023-12-31,New Year's Eve,['Observance'],Switzerland,CH
2023-12-31,Restoration Day,['Common local holiday'],Switzerland,CH
