Date,Name,Type,Country Name,Country Code
2023-01-01,New Year,['National holiday'],Syria,SY
2023-03-08,Revolution Day,['National holiday'],Syria,SY
2023-03-21T00:24:20+03:00,March Equinox,['Season'],Syria,SY
2023-03-21,Mothers' Day,['National holiday'],Syria,SY
2023-03-23,Ramadan Start,['Observance'],Syria,SY
2023-04-09,Easter Sunday,['Observance'],Syria,SY
2023-04-16,Orthodox Easter Day,"['National holiday', 'Orthodox']",Syria,SY
2023-04-17,Evacuation Day,['National holiday'],Syria,SY
2023-04-21,Eid al-Fitr,['National holiday'],Syria,SY
2023-05-01,Labor Day,['National holiday'],Syria,SY
2023-05-06,Martyrs' Day,['National holiday'],Syria,SY
2023-06-21T17:57:49+03:00,June Solstice,['Season'],Syria,SY
2023-06-28,Eid al-Adha,['National holiday'],Syria,SY
2023-07-19,Muharram,['National holiday'],Syria,SY
2023-08-01,Armed Forces Day,['Observance'],Syria,SY
2023-09-23T09:50:01+03:00,September Equinox,['Season'],Syria,SY
2023-09-27,The Prophet's Birthday,['National holiday'],Syria,SY
2023-10-06,October Liberation Day,['National holiday'],Syria,SY
2023-12-22T06:27:21+03:00,December Solstice,['Season'],Syria,SY
2023-12-25,Christmas Day,['National holiday'],Syria,SY
