Date,Name,Type,Country Name,Country Code
2023-01-01,Republic Day/New Year's Day,['National holiday'],Taiwan,TW
2023-01-02,Republic Day/New Year's Day observed,['National holiday'],Taiwan,TW
2023-01-07,Special Working Day,['Observance'],Taiwan,TW
2023-01-20,Lunar New Year Holiday,['National holiday'],Taiwan,TW
2023-01-21,Lunar New Year's Eve,['National holiday'],Taiwan,TW
2023-01-22,Lunar New Year's Day,['National holiday'],Taiwan,TW
2023-01-23,Lunar New Year Holiday,['National holiday'],Taiwan,TW
2023-01-24,Lunar New Year Holiday,['National holiday'],Taiwan,TW
2023-01-25,Lunar New Year Holiday,['National holiday'],Taiwan,TW
2023-01-26,Lunar New Year Holiday,['National holiday'],Taiwan,TW
2023-01-27,Lunar New Year Holiday,['National holiday'],Taiwan,TW
2023-01-28,Lunar New Year Holiday,['National holiday'],Taiwan,TW
2023-01-29,Lunar New Year Holiday,['National holiday'],Taiwan,TW
2023-02-04,Special Working Day,['Observance'],Taiwan,TW
2023-02-04,Farmer's Day,['Observance'],Taiwan,TW
2023-02-05,Lantern Festival,['Observance'],Taiwan,TW
2023-02-05,Tourism Day,['Observance'],Taiwan,TW
2023-02-18,Special Working Day,['Observance'],Taiwan,TW
2023-02-21,Earth God's Birthday,['Observance'],Taiwan,TW
2023-02-25,Peace Memorial Day Holiday,['National holiday'],Taiwan,TW
2023-02-26,Peace Memorial Day Holiday,['National holiday'],Taiwan,TW
2023-02-27,Peace Memorial Day Holiday,['National holiday'],Taiwan,TW
2023-02-28,Peace Memorial Day,['National holiday'],Taiwan,TW
2023-03-08,International Women's Day,['Observance'],Taiwan,TW
2023-03-10,Kuan Yin's Birthday,['Observance'],Taiwan,TW
2023-03-12,Arbor Day,['Observance'],Taiwan,TW
2023-03-21T05:24:20+08:00,March Equinox,['Season'],Taiwan,TW
2023-03-25,Special Working Day,['Observance'],Taiwan,TW
2023-03-29,Youth Day,['Observance'],Taiwan,TW
2023-04-01,Public Holiday,['National holiday'],Taiwan,TW
2023-04-02,Public Holiday,['National holiday'],Taiwan,TW
2023-04-03,Public Holiday,['National holiday'],Taiwan,TW
2023-04-04,Children's Day,['National holiday'],Taiwan,TW
2023-04-05,Tomb Sweeping Day,['National holiday'],Taiwan,TW
2023-04-09,Easter Sunday,['Observance'],Taiwan,TW
2023-05-01,Labor Day,['Observance'],Taiwan,TW
2023-05-04,Literary Day,['Observance'],Taiwan,TW
2023-05-04,God of Medicine's Birthday,['Observance'],Taiwan,TW
2023-05-12,Matsu's Birthday,['Observance'],Taiwan,TW
2023-05-14,Mother's Day,['Observance'],Taiwan,TW
2023-05-26,Buddha's Birthday,['Observance'],Taiwan,TW
2023-06-03,Opium Suppression Movement Day,['Observance'],Taiwan,TW
2023-06-17,Special Working Day,['Observance'],Taiwan,TW
2023-06-21T22:57:49+08:00,June Solstice,['Season'],Taiwan,TW
2023-06-22,Dragon Boat Festival,['National holiday'],Taiwan,TW
2023-06-23,Dragon Boat Festival Holiday,['National holiday'],Taiwan,TW
2023-06-24,Dragon Boat Festival Holiday,['National holiday'],Taiwan,TW
2023-06-25,Dragon Boat Festival Holiday,['National holiday'],Taiwan,TW
2023-06-30,Kuan Kung's Birthday,['Observance'],Taiwan,TW
2023-06-30,Chen Huang's Birthday,['Observance'],Taiwan,TW
2023-08-08,Father's Day,['Observance'],Taiwan,TW
2023-08-22,Chinese Valentine's Day,['Observance'],Taiwan,TW
2023-08-30,Hungry Ghost Festival,['Observance'],Taiwan,TW
2023-09-03,Armed Forces Day,['Observance'],Taiwan,TW
2023-09-23,Special Working Day,['Observance'],Taiwan,TW
2023-09-23T14:50:01+08:00,September Equinox,['Season'],Taiwan,TW
2023-09-28,Teachers' Day,['Observance'],Taiwan,TW
2023-09-29,Mid-Autumn Festival,['National holiday'],Taiwan,TW
2023-09-30,Mid-Autumn Festival Holiday,['National holiday'],Taiwan,TW
2023-10-01,Mid-Autumn Festival Holiday,['National holiday'],Taiwan,TW
2023-10-07,National Day Holiday,['National holiday'],Taiwan,TW
2023-10-08,National Day Holiday,['National holiday'],Taiwan,TW
2023-10-09,National Day Holiday,['National holiday'],Taiwan,TW
2023-10-10,National Day,['National holiday'],Taiwan,TW
2023-10-21,Overseas Chinese Day,['Observance'],Taiwan,TW
2023-10-23,Double Ninth Day,['Observance'],Taiwan,TW
2023-10-25,Taiwan's Retrocession Day,['Observance'],Taiwan,TW
2023-10-31,Halloween,['Observance'],Taiwan,TW
2023-11-12,Sun Yat-sen's Birthday,['Observance'],Taiwan,TW
2023-12-22T11:27:21+08:00,December Solstice,['Season'],Taiwan,TW
2023-12-22T11:27:21+08:00,Dōngzhì Festival,['Observance'],Taiwan,TW
2023-12-25,Constitution Day,['Observance'],Taiwan,TW
2023-12-25,Christmas Day,['Observance'],Taiwan,TW
