Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Tajikistan,TJ
2023-01-02,Day off for New Year's Day,['National holiday'],Tajikistan,TJ
2023-03-08,International Women's Day,['National holiday'],Tajikistan,TJ
2023-03-18,Working day,['Weekend'],Tajikistan,TJ
2023-03-19,Navruz Celebration,['National holiday'],Tajikistan,TJ
2023-03-20,Navruz Celebration,['National holiday'],Tajikistan,TJ
2023-03-21T02:24:20+05:00,March Equinox,['Season'],Tajikistan,TJ
2023-03-21,Navruz Celebration,['National holiday'],Tajikistan,TJ
2023-03-22,Navruz Celebration,['National holiday'],Tajikistan,TJ
2023-03-23,Navruz Celebration,['National holiday'],Tajikistan,TJ
2023-03-24,Navruz Celebration,['National holiday'],Tajikistan,TJ
2023-04-22,Eid ul Fitr,['National holiday'],Tajikistan,TJ
2023-05-01,Labor Day / May Day,['Observance'],Tajikistan,TJ
2023-05-09,Victory Day,['National holiday'],Tajikistan,TJ
2023-06-21T19:57:49+05:00,June Solstice,['Season'],Tajikistan,TJ
2023-06-27,Day of National Unity,['National holiday'],Tajikistan,TJ
2023-06-28,Eid al-Adha,['National holiday'],Tajikistan,TJ
2023-09-09,Independence Day,['National holiday'],Tajikistan,TJ
2023-09-11,Day off for Independence Day,['National holiday'],Tajikistan,TJ
2023-09-23T11:50:01+05:00,September Equinox,['Season'],Tajikistan,TJ
2023-11-06,Constitution Day,['National holiday'],Tajikistan,TJ
2023-12-22T08:27:21+05:00,December Solstice,['Season'],Tajikistan,TJ
