Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Tanzania,TZ
2023-01-12,Zanzibar Revolution Day,['National holiday'],Tanzania,TZ
2023-03-21T00:24:20+03:00,March Equinox,['Season'],Tanzania,TZ
2023-03-23,Ramadan Start,['Observance'],Tanzania,TZ
2023-04-07,Karume Day,['National holiday'],Tanzania,TZ
2023-04-07,Good Friday,['National holiday'],Tanzania,TZ
2023-04-09,Easter Sunday,"['Observance', 'Christian']",Tanzania,TZ
2023-04-10,Easter Monday,['National holiday'],Tanzania,TZ
2023-04-22,Eid el Fitri,['National holiday'],Tanzania,TZ
2023-04-23,Eid el Fitri Holiday,['National holiday'],Tanzania,TZ
2023-04-26,Union Day,['National holiday'],Tanzania,TZ
2023-05-01,Worker's Day,['National holiday'],Tanzania,TZ
2023-05-14,Mothers' Day,['Observance'],Tanzania,TZ
2023-06-21T17:57:49+03:00,June Solstice,['Season'],Tanzania,TZ
2023-06-29,Eid al-Adha,['National holiday'],Tanzania,TZ
2023-07-07,Saba Saba,['National holiday'],Tanzania,TZ
2023-08-08,Farmers' Day,['National holiday'],Tanzania,TZ
2023-09-23T09:50:01+03:00,September Equinox,['Season'],Tanzania,TZ
2023-09-27,Maulid,['National holiday'],Tanzania,TZ
2023-10-14,Mwalimu Nyerere Day,['National holiday'],Tanzania,TZ
2023-12-09,Independence Day,['National holiday'],Tanzania,TZ
2023-12-22T06:27:21+03:00,December Solstice,['Season'],Tanzania,TZ
2023-12-24,Christmas Eve,"['Observance', 'Christian']",Tanzania,TZ
2023-12-25,Christmas Day,['National holiday'],Tanzania,TZ
2023-12-26,Boxing Day,['National holiday'],Tanzania,TZ
