Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Thailand,TH
2023-01-02,Day off for New Year's Day,['National holiday'],Thailand,TH
2023-01-14,National Children's Day,['Observance'],Thailand,TH
2023-01-16,Teachers' Day,['Observance'],Thailand,TH
2023-01-22,Lunar New Year's Day,['Observance'],Thailand,TH
2023-01-23,Second Day of Lunar New Year,['Observance'],Thailand,TH
2023-01-24,Third Day of Lunar New Year,['Observance'],Thailand,TH
2023-02-14,Valentine's Day,['Observance'],Thailand,TH
2023-03-06,Makha Bucha,['National holiday'],Thailand,TH
2023-03-21T04:24:20+07:00,March Equinox,['Season'],Thailand,TH
2023-04-06,Chakri Day,['National holiday'],Thailand,TH
2023-04-13,Songkran,['National holiday'],Thailand,TH
2023-04-14,Songkran,['National holiday'],Thailand,TH
2023-05-01,Labor Day,['National holiday'],Thailand,TH
2023-05-04,Coronation Day,['National holiday'],Thailand,TH
2023-05-05,Bridge Public Holiday,['National holiday'],Thailand,TH
2023-05-17,Royal Ploughing Ceremony Day,['National holiday'],Thailand,TH
2023-06-03,Visakha Bucha,['National holiday'],Thailand,TH
2023-06-03,Queen Suthida's Birthday,['National holiday'],Thailand,TH
2023-06-05,Day off for Visakha Bucha,['National holiday'],Thailand,TH
2023-06-05,Day off for Queen Suthida's Birthday,['National holiday'],Thailand,TH
2023-06-21T21:57:49+07:00,June Solstice,['Season'],Thailand,TH
2023-07-28,King Vajiralongkorn's Birthday,['National holiday'],Thailand,TH
2023-07-31,Bridge Public Holiday,['National holiday'],Thailand,TH
2023-08-01,Buddhist Lent Day,['National holiday'],Thailand,TH
2023-08-12,The Queen's Birthday,['National holiday'],Thailand,TH
2023-08-14,Day off for The Queen's Birthday,['National holiday'],Thailand,TH
2023-09-23T13:50:01+07:00,September Equinox,['Season'],Thailand,TH
2023-10-13,Anniversary of the Death of King Bhumibol,['National holiday'],Thailand,TH
2023-10-23,Chulalongkorn Day,['National holiday'],Thailand,TH
2023-10-31,Halloween,['Observance'],Thailand,TH
2023-12-05,King Bhumibol's Birthday/Father's Day,['National holiday'],Thailand,TH
2023-12-10,Constitution Day,['National holiday'],Thailand,TH
2023-12-11,Substitute Holiday for Constitution Day,['National holiday'],Thailand,TH
2023-12-22T10:27:21+07:00,December Solstice,['Season'],Thailand,TH
2023-12-24,Christmas Eve,['Observance'],Thailand,TH
2023-12-25,Christmas Day,['Observance'],Thailand,TH
2023-12-31,New Year's Eve,['National holiday'],Thailand,TH
