Date,Name,Type,Country Name,Country Code
2023-01-01,New Year,['National holiday'],Togo,TG
2023-01-13,Liberation Day,['Observance'],Togo,TG
2023-03-20T21:24:20+00:00,March Equinox,['Season'],Togo,TG
2023-04-10,Easter Monday,['National holiday'],Togo,TG
2023-04-21,Eid al-Fitr,['National holiday'],Togo,TG
2023-04-27,Independence Day,['National holiday'],Togo,TG
2023-05-01,Labour Day,['National holiday'],Togo,TG
2023-05-18,Ascension Day,['National holiday'],Togo,TG
2023-05-29,Whit Monday,['National holiday'],Togo,TG
2023-06-21,Day of the Martyrs,['National holiday'],Togo,TG
2023-06-21T14:57:49+00:00,June Solstice,['Season'],Togo,TG
2023-06-28,Tabaski,['National holiday'],Togo,TG
2023-08-15,Assumption of Mary,['National holiday'],Togo,TG
2023-09-23T06:50:01+00:00,September Equinox,['Season'],Togo,TG
2023-09-24,Anniversary of the Failed Attack on Lomé,['Observance'],Togo,TG
2023-09-27,The Prophet's Birthday,['Observance'],Togo,TG
2023-11-01,All Saints' Day,['National holiday'],Togo,TG
2023-12-22T03:27:21+00:00,December Solstice,['Season'],Togo,TG
2023-12-25,Christmas Day,['National holiday'],Togo,TG
