Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Tonga,TO
2023-01-02,Day off for New Year's Day,['National holiday'],Tonga,TO
2023-03-21T10:24:20+13:00,March Equinox,['Season'],Tonga,TO
2023-04-07,Good Friday,['National holiday'],Tonga,TO
2023-04-10,Easter Monday,['National holiday'],Tonga,TO
2023-04-25,ANZAC Day,['National holiday'],Tonga,TO
2023-06-04,Emancipation Day,['National holiday'],Tonga,TO
2023-06-05,Day off for Emancipation Day,['National holiday'],Tonga,TO
2023-06-22T03:57:49+13:00,June Solstice,['Season'],Tonga,TO
2023-07-04,Birthday of His Majesty King Tupou VI,['National holiday'],Tonga,TO
2023-09-17,Birthday of Crown Prince Tupouto'a-'Ulukalala,['National holiday'],Tonga,TO
2023-09-18,Day off for Birthday of Crown Prince Tupouto'a-'Ulukalala,['National holiday'],Tonga,TO
2023-09-23T19:50:01+13:00,September Equinox,['Season'],Tonga,TO
2023-11-04,Constitution Day,['National holiday'],Tonga,TO
2023-11-06,Day off for Constitution Day,['National holiday'],Tonga,TO
2023-12-04,Anniversary of the Coronation of King Tupou I,['National holiday'],Tonga,TO
2023-12-22T16:27:21+13:00,December Solstice,['Season'],Tonga,TO
2023-12-25,Christmas Day,['National holiday'],Tonga,TO
2023-12-26,Boxing Day,['National holiday'],Tonga,TO
