Date,Name,Type,Country Name,Country Code
2023-01-01,New Year,['National holiday'],Tunisia,TN
2023-03-20,Independence Day,['National holiday'],Tunisia,TN
2023-03-20T22:24:20+01:00,March Equinox,['Season'],Tunisia,TN
2023-03-23,Ramadan Start,['Observance'],Tunisia,TN
2023-04-09,Martyrs' Day,['National holiday'],Tunisia,TN
2023-04-21,Eid al-Fitr,['National holiday'],Tunisia,TN
2023-04-22,Eid al-Fitr Holiday,['National holiday'],Tunisia,TN
2023-04-23,Eid al-Fitr Holiday,['National holiday'],Tunisia,TN
2023-05-01,Labour Day,['National holiday'],Tunisia,TN
2023-06-21T15:57:49+01:00,June Solstice,['Season'],Tunisia,TN
2023-06-28,Eid al-Adha,['National holiday'],Tunisia,TN
2023-06-29,Eid al-Adha Holiday,['National holiday'],Tunisia,TN
2023-07-19,Muharram,['National holiday'],Tunisia,TN
2023-07-25,Republic Day,['National holiday'],Tunisia,TN
2023-08-13,Women’s Day,['National holiday'],Tunisia,TN
2023-09-23T07:50:01+01:00,September Equinox,['Season'],Tunisia,TN
2023-09-27,The Prophet's Birthday,['National holiday'],Tunisia,TN
2023-10-15,Evacuation Day,['National holiday'],Tunisia,TN
2023-12-17,Revolution and Youth Day,['National holiday'],Tunisia,TN
2023-12-22T04:27:21+01:00,December Solstice,['Season'],Tunisia,TN
