Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Turkey,TR
2023-03-21T00:24:20+03:00,March Equinox,['Season'],Turkey,TR
2023-04-20,Ramadan Feast Eve,['National holiday'],Turkey,TR
2023-04-21,Ramadan Feast,['National holiday'],Turkey,TR
2023-04-22,Ramadan Feast Holiday,['National holiday'],Turkey,TR
2023-04-23,National Sovereignty and Children's Day,['National holiday'],Turkey,TR
2023-04-23,Ramadan Feast Holiday,['National holiday'],Turkey,TR
2023-05-01,Labor and Solidarity Day,['National holiday'],Turkey,TR
2023-05-19,"Commemoration of Atatürk, Youth and Sports Day",['National holiday'],Turkey,TR
2023-06-21T17:57:49+03:00,June Solstice,['Season'],Turkey,TR
2023-06-26,Sacrifice Feast Holiday,['National holiday'],Turkey,TR
2023-06-27,Sacrifice Feast Eve,['National holiday'],Turkey,TR
2023-06-28,Sacrifice Feast,['National holiday'],Turkey,TR
2023-06-29,Sacrifice Feast Holiday,['National holiday'],Turkey,TR
2023-06-30,Sacrifice Feast Holiday,['National holiday'],Turkey,TR
2023-07-01,Sacrifice Feast Holiday,['National holiday'],Turkey,TR
2023-07-15,Democracy and National Unity Day,['National holiday'],Turkey,TR
2023-08-30,Victory Day,['National holiday'],Turkey,TR
2023-09-23T09:50:01+03:00,September Equinox,['Season'],Turkey,TR
2023-10-28,Republic Day Eve,['Observance'],Turkey,TR
2023-10-29,Republic Day,['National holiday'],Turkey,TR
2023-11-10,Ataturk Commemoration Day,['Observance'],Turkey,TR
2023-12-22T06:27:21+03:00,December Solstice,['Season'],Turkey,TR
2023-12-31,New Year's Eve,['Observance'],Turkey,TR
