Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Turkmenistan,TM
2023-01-27,Day of Fatherland Defenders,['Observance'],Turkmenistan,TM
2023-02-18,Day of Diplomatic Staff of Turkmenistan,['Observance'],Turkmenistan,TM
2023-03-07,Day of Transport and Communication Workers,['Observance'],Turkmenistan,TM
2023-03-08,International Women's Day,['National holiday'],Turkmenistan,TM
2023-03-21T02:24:20+05:00,March Equinox,['Season'],Turkmenistan,TM
2023-03-21,Nowruz Bayram (Spring Festival),['National holiday'],Turkmenistan,TM
2023-03-22,Nowruz Bayram (Spring Festival),['National holiday'],Turkmenistan,TM
2023-03-31,Day of Chemical Industry Workers,['Observance'],Turkmenistan,TM
2023-04-07,World Health Day,['Observance'],Turkmenistan,TM
2023-04-17,Migration Workers Day,['Observance'],Turkmenistan,TM
2023-04-21,Oraza Bayram,['National holiday'],Turkmenistan,TM
2023-04-30,Turkmen Racing Horse Festival,['Observance'],Turkmenistan,TM
2023-05-09,Victory Day,['Observance'],Turkmenistan,TM
2023-05-18,Constitution Day,['National holiday'],Turkmenistan,TM
2023-05-25,Ashgabat City Day,['Observance'],Turkmenistan,TM
2023-05-28,Carpet Day,['Observance'],Turkmenistan,TM
2023-05-29,Internal Affairs Officers Day,['Observance'],Turkmenistan,TM
2023-06-01,International Childrens Day,['Observance'],Turkmenistan,TM
2023-06-04,Textile Workers Day,['Observance'],Turkmenistan,TM
2023-06-05,World Envrionment Day,['Observance'],Turkmenistan,TM
2023-06-12,Science Day,['Observance'],Turkmenistan,TM
2023-06-21T19:57:49+05:00,June Solstice,['Season'],Turkmenistan,TM
2023-06-26,Day of Prosecutor's Office Employees,['Observance'],Turkmenistan,TM
2023-06-27,Day of Turkmen Workers of Culture and Art,['Observance'],Turkmenistan,TM
2023-06-28,Kurban Bayramy,['National holiday'],Turkmenistan,TM
2023-06-29,Kurban Bayramy Holiday,['National holiday'],Turkmenistan,TM
2023-06-30,Kurban Bayramy Holiday,['National holiday'],Turkmenistan,TM
2023-07-05,Day of Judicial Employees,['Observance'],Turkmenistan,TM
2023-07-21,Health and Medical Industry Workers Day,['Observance'],Turkmenistan,TM
2023-08-11,Day of Frontiersmen,['Observance'],Turkmenistan,TM
2023-09-01,Day of Students and Knowledge,['Observance'],Turkmenistan,TM
2023-09-09,Day of the Workers in the Energy Sector,['Observance'],Turkmenistan,TM
2023-09-23T11:50:01+05:00,September Equinox,['Season'],Turkmenistan,TM
2023-09-27,Independence Day,['National holiday'],Turkmenistan,TM
2023-10-01,International Day of Senior Citizens,['Observance'],Turkmenistan,TM
2023-10-06,Day of Commemoration and National Mourning,['National holiday'],Turkmenistan,TM
2023-10-09,Day of Naval Forces of Turkmenistan,['Observance'],Turkmenistan,TM
2023-11-12,Harvest Festival,['Observance'],Turkmenistan,TM
2023-12-12,Day of Neutrality,['National holiday'],Turkmenistan,TM
2023-12-14,"Day of the Workers of Oil, Gas, Power and Geological Industry",['Observance'],Turkmenistan,TM
2023-12-21,Niyazov Day,['Observance'],Turkmenistan,TM
2023-12-22T08:27:21+05:00,December Solstice,['Season'],Turkmenistan,TM
