Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Tuvalu,TV
2023-01-02,Day off for New Year's Day,['National holiday'],Tuvalu,TV
2023-03-13,Commonwealth Day,['National holiday'],Tuvalu,TV
2023-03-21T09:24:20+12:00,March Equinox,['Season'],Tuvalu,TV
2023-04-07,Good Friday,['National holiday'],Tuvalu,TV
2023-04-09,Easter Sunday,['Observance'],Tuvalu,TV
2023-04-10,Easter Monday,['National holiday'],Tuvalu,TV
2023-05-15,Gospel Day,['National holiday'],Tuvalu,TV
2023-06-10,Anniversary of the Birthday of the Sovereign,['National holiday'],Tuvalu,TV
2023-06-22T02:57:49+12:00,June Solstice,['Season'],Tuvalu,TV
2023-08-07,National Children's Day,['National holiday'],Tuvalu,TV
2023-09-23T18:50:01+12:00,September Equinox,['Season'],Tuvalu,TV
2023-10-01,Tuvalu Day,['National holiday'],Tuvalu,TV
2023-10-02,Day off for Tuvalu Day,['National holiday'],Tuvalu,TV
2023-10-02,Tuvalu Day Holiday,['National holiday'],Tuvalu,TV
2023-10-03,Day off for Tuvalu Day Holiday,['National holiday'],Tuvalu,TV
2023-11-13,Heir to the Throne's Birthday,['National holiday'],Tuvalu,TV
2023-12-22T15:27:21+12:00,December Solstice,['Season'],Tuvalu,TV
2023-12-25,Christmas Day,['National holiday'],Tuvalu,TV
2023-12-26,Boxing Day,['National holiday'],Tuvalu,TV
