Date,Name,Type,Country Name,Country Code
2023-01-01,New Year,['National holiday'],US Virgin Islands,VI
2023-01-06,Three Kings Day,['National holiday'],US Virgin Islands,VI
2023-01-16,Martin Luther King Jr. Day,['National holiday'],US Virgin Islands,VI
2023-02-20,President's Day,['National holiday'],US Virgin Islands,VI
2023-03-20T17:24:20-04:00,March Equinox,['Season'],US Virgin Islands,VI
2023-03-31,Transfer Day,['National holiday'],US Virgin Islands,VI
2023-04-01,April Fool's Day,['Observance'],US Virgin Islands,VI
2023-04-06,Holy Thursday,['National holiday'],US Virgin Islands,VI
2023-04-07,Good Friday,['National holiday'],US Virgin Islands,VI
2023-04-09,Easter Sunday,['Observance'],US Virgin Islands,VI
2023-04-10,Easter Monday,['National holiday'],US Virgin Islands,VI
2023-05-14,Mother's Day,['Observance'],US Virgin Islands,VI
2023-05-29,Memorial Day,['National holiday'],US Virgin Islands,VI
2023-06-18,Father's Day,['Observance'],US Virgin Islands,VI
2023-06-19,Juneteenth,['Observance'],US Virgin Islands,VI
2023-06-21T10:57:49-04:00,June Solstice,['Season'],US Virgin Islands,VI
2023-07-03,Emancipation Day,['National holiday'],US Virgin Islands,VI
2023-07-04,American Independence Day,['Observance'],US Virgin Islands,VI
2023-07-31,Hurricane Supplication Day,['Observance'],US Virgin Islands,VI
2023-09-04,Labor Day,['National holiday'],US Virgin Islands,VI
2023-09-23T02:50:01-04:00,September Equinox,['Season'],US Virgin Islands,VI
2023-10-09,Puerto Rico Friendship Day (Columbus Day),['National holiday'],US Virgin Islands,VI
2023-10-25,Hurricane Thanksgiving,['Observance'],US Virgin Islands,VI
2023-11-01,Liberty Day,['National holiday'],US Virgin Islands,VI
2023-11-11,Veterans Day,['National holiday'],US Virgin Islands,VI
2023-11-23,Thanksgiving Day,['National holiday'],US Virgin Islands,VI
2023-12-21T23:27:21-04:00,December Solstice,['Season'],US Virgin Islands,VI
2023-12-25,Christmas Day,['National holiday'],US Virgin Islands,VI
2023-12-26,Christmas Second Day,['National holiday'],US Virgin Islands,VI
2023-12-31,New Year's Eve,['Observance'],US Virgin Islands,VI
