Date,Name,Type,Country Name,Country Code
2023-01-01,New Year,['National holiday'],Uganda,UG
2023-01-26,Liberation Day,['National holiday'],Uganda,UG
2023-02-16,Remembrance of Archbishop Janani Luwum,['National holiday'],Uganda,UG
2023-03-08,International Women's Day,['National holiday'],Uganda,UG
2023-03-20T15:24:20-06:00,March Equinox,['Season'],Uganda,UG
2023-03-23,Ramadan Start,['Observance'],Uganda,UG
2023-04-07,Good Friday,['National holiday'],Uganda,UG
2023-04-09,Easter Sunday,['Observance'],Uganda,UG
2023-04-10,Easter Monday,['National holiday'],Uganda,UG
2023-04-21,Eid al-Fitr,['National holiday'],Uganda,UG
2023-05-01,Labour Day,['National holiday'],Uganda,UG
2023-05-14,Mother's Day,['Observance'],Uganda,UG
2023-06-03,Martyr's Day,['National holiday'],Uganda,UG
2023-06-09,National Heroes Day,['National holiday'],Uganda,UG
2023-06-21,Father's Day,['Observance'],Uganda,UG
2023-06-21T08:57:49-06:00,June Solstice,['Season'],Uganda,UG
2023-06-28,Eid al-Adha,['National holiday'],Uganda,UG
2023-09-23T00:50:01-06:00,September Equinox,['Season'],Uganda,UG
2023-10-09,Independence Day,['National holiday'],Uganda,UG
2023-12-21T21:27:21-06:00,December Solstice,['Season'],Uganda,UG
2023-12-25,Christmas Day,['National holiday'],Uganda,UG
2023-12-26,Boxing Day,['National holiday'],Uganda,UG
