Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day (Suspended),['Observance'],Ukraine,UA
2023-01-07,Orthodox Christmas Day (Suspended),"['Observance', 'Orthodox']",Ukraine,UA
2023-01-14,Orthodox New Year,"['Observance', 'Orthodox']",Ukraine,UA
2023-01-19,Epiphany,['Observance'],Ukraine,UA
2023-01-22,Ukrainian Unity Day,['Observance'],Ukraine,UA
2023-02-14,Valentine's Day,['Observance'],Ukraine,UA
2023-03-08,International Women's Day (Suspended),['Observance'],Ukraine,UA
2023-03-20T23:24:20+02:00,March Equinox,['Season'],Ukraine,UA
2023-03-26T03:00:00+02:00,Daylight Saving Time starts,['Clock change/Daylight Saving Time'],Ukraine,UA
2023-04-01,April Fools,['Observance'],Ukraine,UA
2023-04-16,Orthodox Easter Day (Suspended),"['Observance', 'Orthodox']",Ukraine,UA
2023-04-22,Ramadan Bayram,['Muslim'],Ukraine,UA
2023-05-01,Labor Day (Suspended),['Observance'],Ukraine,UA
2023-05-09,Victory Day (Suspended),['Observance'],Ukraine,UA
2023-05-14,Mother's Day,['Observance'],Ukraine,UA
2023-05-20,Europe Day,['Observance'],Ukraine,UA
2023-05-28,Kyiv Day,['Observance'],Ukraine,UA
2023-06-01,Children's Day,['Observance'],Ukraine,UA
2023-06-04,Orthodox Pentecost (Suspended),"['Observance', 'Orthodox']",Ukraine,UA
2023-06-06,Journalists' Day,['Observance'],Ukraine,UA
2023-06-18,Father's Day,['Observance'],Ukraine,UA
2023-06-21T17:57:49+03:00,June Solstice,['Season'],Ukraine,UA
2023-06-22,Day of Mourning and Commemoration of War Victims,['Observance'],Ukraine,UA
2023-06-28,Constitution Day (Suspended),['Observance'],Ukraine,UA
2023-06-29,Qurban Bayram,['Muslim'],Ukraine,UA
2023-07-02,Navy Day,['Observance'],Ukraine,UA
2023-07-06,Kupala Night,['Observance'],Ukraine,UA
2023-07-08,Family Day,['Observance'],Ukraine,UA
2023-07-28,Baptism of Kyivan Rus,['Observance'],Ukraine,UA
2023-07-28,Ukrainian Statehood Day,['Observance'],Ukraine,UA
2023-08-24,Independence Day (Suspended),['Observance'],Ukraine,UA
2023-09-23T09:50:01+03:00,September Equinox,['Season'],Ukraine,UA
2023-10-14,Day of Defenders and Defenders of Ukraine (Suspended),['Observance'],Ukraine,UA
2023-10-28,Day of Liberation of Ukraine from Fascist Invaders,['Observance'],Ukraine,UA
2023-10-29T04:00:00+03:00,Daylight Saving Time ends,['Clock change/Daylight Saving Time'],Ukraine,UA
2023-11-09,Cultural Workers and Folk Artists Day,['Observance'],Ukraine,UA
2023-11-21,Dignity and Freedom Day,['Observance'],Ukraine,UA
2023-12-06,Army Day,['Observance'],Ukraine,UA
2023-12-06,St. Nicholas Day,"['Observance', 'Orthodox']",Ukraine,UA
2023-12-22T05:27:21+02:00,December Solstice,['Season'],Ukraine,UA
2023-12-25,Christmas Day,['Observance'],Ukraine,UA
