Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],United Arab Emirates,AE
2023-02-18,Leilat al-Meiraj (The Prophet's Ascension),['Observance'],United Arab Emirates,AE
2023-03-21T01:24:20+04:00,March Equinox,['Season'],United Arab Emirates,AE
2023-03-23,Ramadan Start,['Observance'],United Arab Emirates,AE
2023-04-20,Eid al-Fitr Holiday,['National holiday'],United Arab Emirates,AE
2023-04-21,Eid al-Fitr,['National holiday'],United Arab Emirates,AE
2023-04-22,Eid al-Fitr Holiday,['National holiday'],United Arab Emirates,AE
2023-04-23,Eid al-Fitr Holiday,['National holiday'],United Arab Emirates,AE
2023-06-20,Hajj season begins,['Observance'],United Arab Emirates,AE
2023-06-21T18:57:49+04:00,June Solstice,['Season'],United Arab Emirates,AE
2023-06-27,Arafat (Hajj) Day,['National holiday'],United Arab Emirates,AE
2023-06-28,Eid al-Adha (Feast of Sacrifice),['National holiday'],United Arab Emirates,AE
2023-06-29,Eid al-Adha Holiday,['National holiday'],United Arab Emirates,AE
2023-06-30,Eid al-Adha Holiday,['National holiday'],United Arab Emirates,AE
2023-07-21,Al-Hijra (Islamic New Year),['National holiday'],United Arab Emirates,AE
2023-09-23T10:50:01+04:00,September Equinox,['Season'],United Arab Emirates,AE
2023-09-29,Mouloud,['National holiday'],United Arab Emirates,AE
2023-11-30,Commemoration Day,['Observance'],United Arab Emirates,AE
2023-12-02,National Day,['National holiday'],United Arab Emirates,AE
2023-12-03,National Day Holiday,['National holiday'],United Arab Emirates,AE
2023-12-22T07:27:21+04:00,December Solstice,['Season'],United Arab Emirates,AE
2023-12-31,New Year's Eve,['Observance'],United Arab Emirates,AE
